title,performer,peak_pos,wks_on_chart,first_charting_year,original_performer,performer_normalized,original_performer_normalized
It's All In The Game,Tommy Edwards,1,22,1958,,tommy edwards,
It's Only Make Believe,Conway Twitty,1,21,1958,,conway twitty,
Little Star,The Elegants,1,17,1958,,the elegants,
Nel Blu Dipinto Di Blu (Volaré),Domenico Modugno,1,16,1958,,domenico modugno,
Poor Little Fool,Ricky Nelson,1,11,1958,,ricky nelson,
Smoke Gets In Your Eyes,The Platters,1,19,1958,,the platters,
Stagger Lee,Lloyd Price,1,21,1958,,lloyd price,
The Chipmunk Song,The Chipmunks,1,13,1958,The Chipmunks With David Seville,the chipmunks,
The Chipmunk Song,David Seville,1,13,1958,The Chipmunks With David Seville,david seville,
"To Know Him, Is To Love Him",The Teddy Bears,1,23,1958,,the teddy bears,
Tom Dooley,The Kingston Trio,1,21,1958,,the kingston trio,
16 Candles,The Crests,2,21,1958,,the crests,
Bird Dog,The Everly Brothers,2,18,1958,,the everly brothers,
Donna,Ritchie Valens,2,23,1958,,ritchie valens,
Jingle Bell Rock,Bobby Helms,2,68,1958,,bobby helms,
My Happiness,Connie Francis,2,18,1958,,connie francis,
Patricia,Perez Prado,2,14,1958,Perez Prado And His Orchestra,perez prado,
Patricia,His Orchestra,2,14,1958,Perez Prado And His Orchestra,his orchestra,
Problems,The Everly Brothers,2,15,1958,,the everly brothers,
Rock-in Robin,Bobby Day,2,21,1958,,bobby day,
The All American Boy,Bill Parsons,2,16,1958,,bill parsons,
My True Love,Jack Scott,3,14,1958,,jack scott,
Splish Splash,Bobby Darin,3,8,1958,,bobby darin,
Topsy II,Cozy Cole,3,21,1958,,cozy cole,
Beep Beep,The Playmates,4,15,1958,,the playmates,
Gotta Travel On,Billy Grammer,4,20,1958,,billy grammer,
Hard Headed Woman,Elvis Presley,4,8,1958,Elvis Presley With The Jordanaires,elvis presley,
Hard Headed Woman,The Jordanaires,4,8,1958,Elvis Presley With The Jordanaires,the jordanaires,
Just A Dream,Jimmy Clanton And His Rockets,4,15,1958,,jimmy clanton and his rockets,
One Night,Elvis Presley,4,17,1958,,elvis presley,
Tears On My Pillow,Little Anthony And The Imperials,4,19,1958,,little anthony and the imperials,
