label,big_3_affiliation,#_of_connected_artists,total_power_of_connected_artists
Columbia,Other,254,30081
Atlantic,Warner,230,26817
BMG Direct Marketing,Other,225,23866
Epic,Other,161,20655
Capitol Records,Universal,173,19989
Interscope Records,Universal,127,14946
RCA,Other,125,12692
Warner Bros. Records,Other,108,12521
EMI,Universal,128,12354
BMG,Other,114,11343
Legacy,Other,110,10718
Arista,Other,83,10323
A&M Records,Universal,79,9588
CBS,Other,83,9514
Mercury Records,Universal,85,8918
Collectables,Other,88,8642
Island,Other,70,8631
Geffen Records,Universal,78,7792
BMG Direct,Other,96,7723
Rhino,Other,84,7591
[no label],Other,90,7520
Polydor,Other,69,7464
MCA Records,Universal,71,7430
Motown,Universal,56,6930
Elektra,Other,52,6394
Def Jam Recordings,Sony,52,6360
Reprise Records,Warner,48,5684
Sony Music,Sony,61,5445
Republic Records,Universal,46,4963
Virgin,Universal,46,4163
Analogue Productions,Other,35,4001
Mobile Fidelity Sound Lab,Other,39,3938
Jive,Other,37,3930
RCA Victor,Other,46,3816
CBS/Sony,Other,36,3583
Audio Fidelity,Other,39,3566
London Records,Warner,36,3517
ATCO Records,Other,34,3361
Universal Records,Warner,36,3337
Decca Records,Universal,36,3107
Columbia House,Other,38,3017
Beat Goes On Records,Other,38,2931
Chrysalis,Other,22,2857
Flashback Records,Other,28,2655
Universal,Universal,34,2414
Parlophone,Warner,19,2213
Universal Music,Other,28,2195
Asylum Records,Warner,22,2183
Curb Records,Warner,17,2058
Sony BMG Music Entertainment,Other,25,2035
Edsel Records,Other,20,2022
J Records,Sony,19,2019
BMG Japan,Other,21,1987
Capitol Records Nashville,Universal,13,1888
Universal Republic Records,Universal,18,1868
19 Recordings,Other,18,1837
Cash Money Records,Universal,15,1816
Bad Boy Entertainment,Other,15,1787
Bad Boy Records,Sony,18,1784
Big Break Records,Other,19,1742
Warner Records,Warner,20,1737
Roadrunner Records,Warner,14,1673
Columbia Nashville,Sony,14,1654
DCC Compact Classics,Other,15,1652
Rhino Atlantic,Other,17,1598
Fontana,Other,17,1568
LaFace Records,Sony,15,1555
Sony Records International,Other,20,1543
Island Records Group,Other,16,1524
Fueled by Ramen,Warner,11,1510
United Artists,Other,15,1469
DreamWorks Records,Universal,13,1466
MCA Nashville,Universal,14,1464
Hollywood Records,Universal,15,1463
Bear Family Records,Other,16,1450
Cleopatra Records,Other,15,1445
RSO,Other,10,1426
BMG Special Products,Other,16,1418
Priority Records,Universal,13,1395
Apple Records,Other,12,1392
CD‐Maximum,Other,13,1390
Big Beat,Other,15,1361
EastWest,Other,15,1357
Lava,Other,12,1354
CEMA Special Markets,Other,14,1342
Imperial,Other,11,1318
Sire Records,Warner,16,1316
Universal Motown,Other,12,1312
Spectrum Music,Other,16,1304
Camden,Other,15,1302
Reunion Records,Sony,4,1282
EastWest Records America,Warner,11,1281
Liberty,Other,16,1280
Collectors’ Choice Music,Other,16,1278
Casablanca Records,Universal,12,1253
Columbia Records,Sony,15,1225
300 Entertainment,Warner,10,1224
Craft Recordings,Universal,18,1213
Mercury Nashville,Universal,12,1210
MGM Records,Universal,16,1208
Ariola,Other,14,1189
EMI America,Other,15,1188
ABC Records,Universal,15,1182
Nonesuch,Other,8,1140
Friday Music,Other,14,1123
Gordy,Other,7,1121
Ariola Express,Other,13,1118
