name,wiki_article,wiki_match_method,wiki_views_2015,wiki_views_2016,wiki_views_2017,wiki_views_2018,wiki_views_2019,wiki_views_2020,wiki_views_2021,wiki_views_2022,wiki_views_2023,wiki_views_2024,wiki_views_first_top10_year,wiki_views_first_charting_year,wiki_has_page
12 stones,,not_found,,,,,,,,,,,,,False
1910 fruitgum co.,,rejected_low_similarity,,,,,,,,,,,,,False
1927,,not_found,,,,,,,,,,,,,False
2 chainz,,not_found,,,,,,,,,,,,,False
2 chainz x gucci mane x quavo,,rejected_low_similarity,,,,,,,,,,,,,False
2 hyped brothers & a dog,,not_found,,,,,,,,,,,,,False
2 in a room,,not_found,,,,,,,,,,,,,False
2 low,Andy Fairweather Low,name_search,45454.0,119310.0,102583.0,91555.0,92958.0,101893.0,102071.0,144531.0,349591.0,123851.0,,,True
2 of clubs,,not_found,,,,,,,,,,,,,False
2 pistols,,not_found,,,,,,,,,,,,,False
2 unlimited,Evanora Unlimited,name_search,,,,,,,,,,7950.0,,,True
20 fingers,,not_found,,,,,,,,,,,,,False
20/20,,not_found,,,,,,,,,,,,,False
21 savage,,not_found,,,,,,,,,,,,,False
21 savage & baby tate,21 Savage,name_search,,1042616.0,2847802.0,2034343.0,5336515.0,1334855.0,1028567.0,1297592.0,1428447.0,1685086.0,,,True
"21 savage & tyler, the creator",,not_found,,,,,,,,,,,,,False
"21 savage, travis scott & yak gotti",,not_found,,,,,,,,,,,,,False
213,,rejected_low_similarity,,,,,,,,,,,,,False
21:03,,not_found,,,,,,,,,,,,,False
24-7 spyz,,not_found,,,,,,,,,,,,,False
24kgoldn,24kGoldn,name_search,,,,,409.0,487879.0,518001.0,251668.0,151730.0,129177.0,,,True
2am club,,rejected_low_similarity,,,,,,,,,,,,,False
2cellos,2Cellos,name_search,148539.0,259963.0,376067.0,330758.0,309314.0,291733.0,247298.0,282474.0,214146.0,159099.0,,,True
2cellos/london symphony orchestra,2Cellos,name_search,148539.0,259963.0,376067.0,330758.0,309314.0,291733.0,247298.0,282474.0,214146.0,159099.0,,,True
2gether,,not_found,,,,,,,,,,,,,False
2nd ii none,,not_found,,,,,,,,,,,,,False
2ne1,,rejected_low_similarity,,,,,,,,,,,,,False
2nu,,not_found,,,,,,,,,,,,,False
2pac,,not_found,,,,,,,,,,,,,False
2pac & johnny p,,not_found,,,,,,,,,,,,,False
2pac + outlawz,Outlawz,name_search,204620.0,311682.0,364580.0,284540.0,232110.0,233630.0,250005.0,218912.0,236125.0,214529.0,,,True
2pac duet,,not_found,,,,,,,,,,,,,False
2rare,,not_found,,,,,,,,,,,,,False
3,,rejected_low_similarity,,,,,,,,,,,,,False
3 doors down,3 Doors Down,name_search,247967.0,627989.0,644837.0,428299.0,360348.0,359244.0,416498.0,346465.0,561905.0,497357.0,,,True
3 inches of blood,,not_found,,,,,,,,,,,,,False
3 man island,,not_found,,,,,,,,,,,,,False
3 winans brothers,CeCe Winans,name_search,66226.0,123392.0,156659.0,139469.0,186251.0,185594.0,244985.0,281737.0,406915.0,483403.0,,,True
30 secnds to mars,,not_found,,,,,,,,,,,,,False
30 seconds to mars,,not_found,,,,,,,,,,,,,False
310babii,310babii,name_search,,,,,,,,,,32650.0,,,True
311,,rejected_low_similarity,,,,,,,,,,,,,False
33miles,,rejected_low_similarity,,,,,,,,,,,,,False
347aidan,347aidan,name_search,,,,,,,,32036.0,38281.0,27743.0,,,True
36 crazyfists,,not_found,,,,,,,,,,,,,False
38 special,,not_found,,,,,,,,,,,,,False
3ballmty,,not_found,,,,,,,,,,,,,False
3lw,,not_found,,,,,,,,,,,,,False
3oh!3,,not_found,,,,,,,,,,,,,False
