musicbrainz_artist_id,musicbrainz_artist_mbid,artist_name,youtube_url,youtube_id,url_type
39,2feb192c-2363-46d6-b476-1c88a25cb294,The Afghan Whigs,https://www.youtube.com/channel/UCVvlUrBfiPSvf5qSGCXPMgA,UCVvlUrBfiPSvf5qSGCXPMgA,channel_id
139417,08bebce9-33fa-4ae9-9992-4e5d137d655b,The Acacia Strain,https://www.youtube.com/channel/UC8YyEjOExG8y0jgc0-AbyNg,UC8YyEjOExG8y0jgc0-AbyNg,channel_id
885431,d87475fa-76a1-4e12-962c-fc9941fdda72,Krewella,https://www.youtube.com/channel/UCDY_0WzkHyj0A1ev6RTql1Q,UCDY_0WzkHyj0A1ev6RTql1Q,channel_id
807686,b87b38cc-b446-4a0c-968a-addb0e244c9d,Kreayshawn,https://www.youtube.com/channel/UCP4vIL84k78_tAM--K9hPtQ,UCP4vIL84k78_tAM--K9hPtQ,channel_id
1135,ebfc1398-8d96-47e3-82c3-f782abcdb13d,The Beach Boys,https://music.youtube.com/channel/UCrnD8aXhy4oQMS0ITw471tA,UCrnD8aXhy4oQMS0ITw471tA,channel_id
854895,7c340ac5-6eda-4981-91d6-d5b1f4d1bbbf,Kishi Bashi,https://music.youtube.com/channel/UCW3FwEI_iYWJ-AH_KScypHw,UCW3FwEI_iYWJ-AH_KScypHw,channel_id
124091,01c7ee57-b782-43b2-8b1e-ec7f188f5cde,Kix Brooks,https://www.youtube.com/channel/UCozy6NWopB3_q9qiXuusStQ,UCozy6NWopB3_q9qiXuusStQ,channel_id
74542,dafcd725-9cb6-4347-be21-fd9a950e8064,Klaatu,https://www.youtube.com/channel/UCdFv_lJi9g6A3xqzeV9RRCA,UCdFv_lJi9g6A3xqzeV9RRCA,channel_id
251839,82a8aee6-0772-4399-9238-b5903eab413f,Knife Party,https://music.youtube.com/channel/UCV69sHsulbG_5Vu0N-KXwTQ,UCV69sHsulbG_5Vu0N-KXwTQ,channel_id
1338689,9ca10859-49e2-44e3-b3d6-04c535207bc2,Knocked Loose,https://music.youtube.com/channel/UCtpMlizUrJlTtAONzxX6vpQ,UCtpMlizUrJlTtAONzxX6vpQ,channel_id
1121120,68ff4824-8451-481c-b4cf-57c2c64d8c00,Knuckle Puck,https://www.youtube.com/channel/UCxqlUg63ZQpDq86jv1Tm_ew,UCxqlUg63ZQpDq86jv1Tm_ew,channel_id
1392125,bdfcd5c2-c49a-47ca-9c37-081ce41aa942,Kodie Shane,https://www.youtube.com/channel/UC2J3dERKQy25MXE5tl5u8rA,UC2J3dERKQy25MXE5tl5u8rA,channel_id
1782270,cf59723d-febb-4481-9b9b-3cb2c7f2a7e6,Koe Wetzel,https://www.youtube.com/channel/UC3z-jLV-EGKmBPTZ9hKZGBQ,UC3z-jLV-EGKmBPTZ9hKZGBQ,channel_id
45626,90bfadac-a238-455d-93d1-9308f97f4522,Koffee Brown,https://www.youtube.com/channel/UC_c0pQn9pnJjWg4Gcvgsavw,UC_c0pQn9pnJjWg4Gcvgsavw,channel_id
