title,performer,peak_pos,wks_on_chart,first_charting_year,original_performer,performer_normalized,original_performer_normalized,label,first_year_top_10_songs,first_top_10_hit,precedes_first_top_10_hit,tags,genre_tags_musicbrainz,top_10_1hit_wonder_song,top_10_hitmaker_song
It's All In The Game,Tommy Edwards,1,22,1958,,tommy edwards,,"Gold Dust, MGM Records",1958,True,False,,,True,False
It's Only Make Believe,Conway Twitty,1,21,1958,,conway twitty,,,1958,True,False,,,False,True
Little Star,The Elegants,1,17,1958,,the elegants,,APT,1958,True,False,,,True,False
Nel Blu Dipinto Di Blu (Volaré),Domenico Modugno,1,16,1958,,domenico modugno,,,1958,True,False,,,True,False
Poor Little Fool,Ricky Nelson,1,11,1958,,ricky nelson,,,1958,True,False,,,False,True
Smoke Gets In Your Eyes,The Platters,1,19,1958,,the platters,,"Instant, Mercury Records, Prism Leisure",1958,True,False,,,False,True
Stagger Lee,Lloyd Price,1,21,1958,,lloyd price,,"ABC-Paramount, Life Time, TSG Records",1958,True,False,,,False,True
The Chipmunk Song,The Chipmunks,1,13,1958,The Chipmunks With David Seville,the chipmunks,,"Liberty, Pair Records",1958,True,False,,,False,True
The Chipmunk Song,David Seville,1,13,1958,The Chipmunks With David Seville,david seville,,Liberty,1958,True,False,,,False,True
"To Know Him, Is To Love Him",The Teddy Bears,1,23,1958,,the teddy bears,,Doré,1958,True,False,,,True,False
Tom Dooley,The Kingston Trio,1,21,1958,,the kingston trio,,"Capitol Records, First Choice, L.T. Series",1958,True,False,,,False,True
16 Candles,The Crests,2,21,1958,,the crests,,Coed,1958,True,False,,,True,False
Bird Dog,The Everly Brothers,2,18,1958,,the everly brothers,,Cadence Records,1958,True,False,"rock, classic rock, rock and roll","rock, classic rock, rock and roll",False,True
Donna,Ritchie Valens,2,23,1958,,ritchie valens,,"Ariola, Del-Fi Records, London American Recordings",1958,True,False,doo-wop,doo-wop,True,False
Jingle Bell Rock,Bobby Helms,2,68,1958,,bobby helms,,"Certron Corporation, Country Rewind Records, Decca Records",1958,True,False,,,True,False
My Happiness,Connie Francis,2,18,1958,,connie francis,,"MGM Records, Planet Media",1958,True,False,,,False,True
Patricia,Perez Prado,2,14,1958,Perez Prado And His Orchestra,perez prado,,,1958,True,False,,,True,False
Patricia,His Orchestra,2,14,1958,Perez Prado And His Orchestra,his orchestra,,"Decca Records, London Records, RCA",1958,True,False,,,False,True
Problems,The Everly Brothers,2,15,1958,,the everly brothers,,"Apex, Cadence Records",1958,True,False,,,False,True
Rock-in Robin,Bobby Day,2,21,1958,,bobby day,,,1958,True,False,,,True,False
The All American Boy,Bill Parsons,2,16,1958,,bill parsons,,"Buccaneer, Fraternity",1958,True,False,,,True,False
My True Love,Jack Scott,3,14,1958,,jack scott,,"Carlton, Hallmark Records, Pegasus Entertainment",1958,True,False,,,False,True
Splish Splash,Bobby Darin,3,8,1958,,bobby darin,,"ATCO Records, ArsNova, Atlantic",1958,True,False,,,False,True
Topsy II,Cozy Cole,3,21,1958,,cozy cole,,,1958,True,False,,,True,False
Beep Beep,The Playmates,4,15,1958,,the playmates,,Roulette,1958,True,False,"comedy, comedy rock, satire, humor, standup comedy, novelty, halloween, comedy/spoken, song parody, music comedy","comedy, comedy rock, standup comedy",True,False
Gotta Travel On,Billy Grammer,4,20,1958,,billy grammer,,"Decca Records, Monument",1958,True,False,,,True,False
Hard Headed Woman,Elvis Presley,4,8,1958,Elvis Presley With The Jordanaires,elvis presley,,"RCA, RCA Victor",1958,True,False,,,False,True
Hard Headed Woman,The Jordanaires,4,8,1958,Elvis Presley With The Jordanaires,the jordanaires,,,1958,True,False,,,False,True
Just A Dream,Jimmy Clanton And His Rockets,4,15,1958,,jimmy clanton and his rockets,,,1958,True,False,,,True,False
One Night,Elvis Presley,4,17,1958,,elvis presley,,"Card Exclusive, Follow That Dream Records, Live Archives",1958,True,False,,,False,True
Tears On My Pillow,Little Anthony And The Imperials,4,19,1958,,little anthony and the imperials,,,1958,True,False,,,False,True
Susie Darlin',Robin Luke,5,17,1958,,robin luke,,"Bear Family Records, Dot Records, Universal Digital Enterprises",1958,True,False,,,True,False
When,Kalin Twins,5,9,1958,,kalin twins,,"Bear Family Records, Decca Records",1958,True,False,,,True,False
A Lover's Question,Clyde McPhatter,6,24,1958,,clyde mcphatter,,Atlantic,1958,True,False,,,False,True
Chantilly Lace,Big Bopper,6,25,1958,,big bopper,,"Contour, Mercury Records, Pickwick",1958,True,False,,,True,False
I Cried A Tear,LaVern Baker,6,21,1958,,lavern baker,,Atlantic,1958,True,False,,,True,False
Rebel-'rouser,Duane Eddy His Twangy Guitar,6,8,1958,Duane Eddy His Twangy Guitar And The Rebels,duane eddy his twangy guitar,,,1958,True,False,,,True,False
Rebel-'rouser,The Rebels,6,8,1958,Duane Eddy His Twangy Guitar And The Rebels,the rebels,,,1958,True,False,,,False,True
Whole Lotta Loving,Fats Domino,6,15,1958,,fats domino,,Imperial,1958,True,False,,,False,True
Born Too Late,Poni-Tails,7,14,1958,,poni-tails,,"ABC-Paramount, Famous Groove, South Bay",1958,True,False,,,True,False
Lonely Teardrops,Jackie Wilson,7,21,1958,,jackie wilson,,Brunswick,1958,True,False,,,False,True
Lonesome Town,Ricky Nelson,7,18,1958,,ricky nelson,,,1958,True,False,,,False,True
Tea For Two Cha Cha,The Tommy Dorsey Orchestra,7,20,1958,,the tommy dorsey orchestra,,,1958,True,False,,,True,False
The End,Earl Grant,7,19,1958,,earl grant,,Decca Records,1958,True,False,,,True,False
Yakety Yak,The Coasters,7,7,1958,,the coasters,,"ATCO Records, Aim Records, Flashback Records",1958,True,False,,,False,True
Fever,Peggy Lee,8,12,1958,,peggy lee,,"BnF Collection, CEMA Special Markets, Capitol Records",1958,True,False,,,True,False
Goodbye Baby,Jack Scott,8,16,1958,,jack scott,,,1958,True,False,"rock, rockabilly, rock and roll","rock, rockabilly, rock and roll",False,True
I Got Stung,Elvis Presley,8,16,1958,,elvis presley,,"RCA, RCA Victor, Sony BMG Music Entertainment",1958,True,False,,,False,True
Summertime Blues,Eddie Cochran,8,16,1958,,eddie cochran,,"LaserLight Digital, Liberty, London Records",1958,True,False,,,True,False
Western Movies,The Olympics,8,12,1958,,the olympics,,Demon Records,1958,True,False,doo-wop,doo-wop,True,False
Ginger Bread,Frankie Avalon,9,11,1958,,frankie avalon,,,1958,True,False,,,False,True
Queen Of The Hop,Bobby Darin,9,19,1958,,bobby darin,,ATCO Records,1958,True,False,,,False,True
Willie And The Hand Jive,The Johnny Otis Show,9,10,1958,,the johnny otis show,,"Capitol Records, Rhythm and Blues",1958,True,False,,,True,False
Are You Really Mine,Jimmie Rodgers,10,13,1958,,jimmie rodgers,,Roulette,1958,True,False,,,True,False
Devoted To You,The Everly Brothers,10,14,1958,,the everly brothers,,"2000 FruitGum, Cadence Records",1958,True,False,,,False,True
I Got A Feeling,Ricky Nelson,10,17,1958,,ricky nelson,,,1958,True,False,,,False,True
Manhattan Spiritual,Reg Owen & His Orchestra,10,16,1958,,reg owen & his orchestra,,,1958,True,False,,,True,False
Near You,Roger Williams,10,17,1958,,roger williams,,Kapp Records,1958,True,False,,,False,True
Run Rudolph Run,Chuck Berry,10,31,1958,,chuck berry,,"Chess, JB Production",1958,True,False,,,False,True
Come Softly To Me,The Fleetwoods,1,16,1959,,the fleetwoods,,"Dolphin, EMI Records USA",1959,True,False,,,False,True
El Paso,Marty Robbins,1,22,1959,,marty robbins,,"CBS, Columbia, Jasmine Records",1959,True,False,,,False,True
Heartaches By The Number,Guy Mitchell,1,20,1959,,guy mitchell,,"Bear Family Records, Columbia, Hughes Leisure Group",1959,True,False,,,True,False
Kansas City,Wilbert Harrison,1,16,1959,,wilbert harrison,,"Bellaphon, Collectables, Fury Records",1959,True,False,,,True,False
Lonely Boy,Paul Anka,1,15,1959,,paul anka,,"ABC-Paramount, Columbia, Diamond",1959,True,False,,,False,True
Mr. Blue,The Fleetwoods,1,20,1959,,the fleetwoods,,"Dolton, VanMeter",1959,True,False,,,False,True
Running Bear,Johnny Preston,1,27,1959,,johnny preston,,"Bear Family Records, Collectables, Mercury Records",1959,True,False,,,False,True
Sleep Walk,Santo & Johnny,1,18,1959,,santo & johnny,,"Canadian-American Records, Eclipse",1959,True,False,,,True,False
Teen Angel,Mark Dinning,1,18,1959,,mark dinning,,"MGM Records, Radio Archives",1959,True,False,,,True,False
The Battle Of New Orleans,Johnny Horton,1,21,1959,,johnny horton,,"CBS, CBS Special Products, Columbia",1959,True,False,,,False,True
The Happy Organ,"Dave ""Baby"" Cortez",1,17,1959,,"dave ""baby"" cortez",,,1959,True,False,,,True,False
The Three Bells,The Browns,1,17,1959,,the browns,,Bear Family Records,1959,True,False,,,False,True
Don't You Know,Della Reese,2,18,1959,,della reese,,RCA Victor,1959,True,False,,,True,False
Handy Man,Jimmy Jones,2,18,1959,,jimmy jones,,"Cub Records, Jasmine Records, Stardust Records",1959,True,False,,,False,True
He'll Have To Go,Jim Reeves,2,23,1959,,jim reeves,,,1959,True,False,,,True,False
Put Your Head On My Shoulder,Paul Anka,2,18,1959,,paul anka,,"ABC-Paramount, Green Hill, Sparton Records",1959,True,False,,,False,True
Sea Of Love,Phil Phillips With The Twilights,2,18,1959,,phil phillips with the twilights,,,1959,True,False,,,True,False
Sorry (I Ran All The Way Home),The Impalas,2,18,1959,,the impalas,,Cub Records,1959,True,False,,,True,False
There Goes My Baby,The Drifters,2,19,1959,,the drifters,,"Atlantic, Flashback Records",1959,True,False,,,False,True
Dedicated To The One I Love,The Shirelles,3,20,1959,,the shirelles,,Scepter,1959,True,False,,,False,True
It's Just A Matter Of Time,Brook Benton,3,18,1959,,brook benton,,,1959,True,False,,,False,True
Lavender-Blue,Sammy Turner,3,18,1959,,sammy turner,,,1959,True,False,,,True,False
My Heart Is An Open Book,"Carl Dobkins, Jr.",3,24,1959,,"carl dobkins, jr.",,,1959,True,False,,,True,False
Pink Shoe Laces,Dodie Stevens,3,19,1959,,dodie stevens,,"Screenland Records, South Bay",1959,True,False,,,True,False
The Big Hurt,Miss Toni Fisher,3,17,1959,,miss toni fisher,,"Harkit Records, Signet Records",1959,True,False,,,True,False
Tiger,Fabian,3,13,1959,,fabian,,Chancellor,1959,True,False,rock and roll,rock and roll,False,True
Way Down Yonder In New Orleans,Freddie Cannon,3,15,1959,,freddie cannon,,,1959,True,False,,,True,False
Where Or When,Dion & The Belmonts,3,16,1959,,dion,dion & the belmonts,Laurie Records,1959,True,False,,,False,True
Where Or When,Dion & The Belmonts,3,16,1959,,dion,dion & the belmonts,Laurie Records,1959,True,False,,,False,True
Where Or When,Dion & The Belmonts,3,16,1959,,dion,dion & the belmonts,Laurie Records,1959,True,False,,,False,True
Where Or When,Dion & The Belmonts,3,16,1959,,dion,dion & the belmonts,Laurie Records,1959,True,False,,,False,True
Where Or When,Dion & The Belmonts,3,16,1959,,the belmonts,dion & the belmonts,Laurie Records,1959,True,False,,,False,True
Where Or When,Dion & The Belmonts,3,16,1959,,the belmonts,dion & the belmonts,Laurie Records,1959,True,False,,,False,True
Where Or When,Dion & The Belmonts,3,16,1959,,the belmonts,dion & the belmonts,Laurie Records,1959,True,False,,,False,True
Where Or When,Dion & The Belmonts,3,16,1959,,the belmonts,dion & the belmonts,Laurie Records,1959,True,False,,,False,True
In The Mood,Ernie Fields,4,19,1959,Ernie Fields & Orch.,ernie fields,,"Collectables, London American Recordings, London Records",1959,True,False,,,True,False
In The Mood,Orch.,4,19,1959,Ernie Fields & Orch.,orch.,,,1959,True,False,,,True,False
It's Time To Cry,Paul Anka,4,15,1959,,paul anka,,,1959,True,False,,,False,True
"Kookie, Kookie (Lend Me Your Comb)",Edward Byrnes,4,13,1959,Edward Byrnes & Connie Stevens,edward byrnes,,,1959,True,False,,,True,False
"Kookie, Kookie (Lend Me Your Comb)",Connie Stevens,4,13,1959,Edward Byrnes & Connie Stevens,connie stevens,,Warner Bros. Records,1959,True,False,,,False,True
Quiet Village,The Exotic Sounds of Martin Denny,4,16,1959,,the exotic sounds of martin denny,,,1959,True,False,,,True,False
Sweet Nothin's,Brenda Lee,4,24,1959,,brenda lee,,Decca Records,1959,True,False,,,False,True
Teen Beat,Sandy Nelson,4,16,1959,,sandy nelson,,"Imperial, Original Sound, See for Miles Records",1959,True,False,,,False,True
Waterloo,Stonewall Jackson,4,16,1959,,stonewall jackson,,"Bear Family Records, Black Cat, CBS Special Products",1959,True,False,,,True,False
A Teenager In Love,Dion & The Belmonts,5,15,1959,,dion,dion & the belmonts,"CEMA Special Markets, Collectables, Laurie Records",1959,True,False,,,False,True
A Teenager In Love,Dion & The Belmonts,5,15,1959,,dion,dion & the belmonts,"CEMA Special Markets, Collectables, Laurie Records",1959,True,False,,,False,True
A Teenager In Love,Dion & The Belmonts,5,15,1959,,dion,dion & the belmonts,"CEMA Special Markets, Collectables, Laurie Records",1959,True,False,,,False,True
A Teenager In Love,Dion & The Belmonts,5,15,1959,,dion,dion & the belmonts,"CEMA Special Markets, Collectables, Laurie Records",1959,True,False,,,False,True
A Teenager In Love,Dion & The Belmonts,5,15,1959,,the belmonts,dion & the belmonts,"CEMA Special Markets, Collectables, Laurie Records",1959,True,False,,,False,True
A Teenager In Love,Dion & The Belmonts,5,15,1959,,the belmonts,dion & the belmonts,"CEMA Special Markets, Collectables, Laurie Records",1959,True,False,,,False,True
A Teenager In Love,Dion & The Belmonts,5,15,1959,,the belmonts,dion & the belmonts,"CEMA Special Markets, Collectables, Laurie Records",1959,True,False,,,False,True
A Teenager In Love,Dion & The Belmonts,5,15,1959,,the belmonts,dion & the belmonts,"CEMA Special Markets, Collectables, Laurie Records",1959,True,False,,,False,True
"Go, Jimmy, Go",Jimmy Clanton,5,16,1959,,jimmy clanton,,Ace Records,1959,True,False,,,False,True
Guitar Boogie Shuffle,The Virtues,5,16,1959,,the virtues,,,1959,True,False,,,True,False
Lonely Street,Andy Williams,5,16,1959,,andy williams,,"Cadence Records, Collectables, Varèse Sarabande",1959,True,False,,,False,True
Petite Fleur (Little Flower),Chris Barber's Jazz Band,5,15,1959,,chris barber's jazz band,,,1959,True,False,,,True,False
Red River Rock,Johnny And The Hurricanes,5,17,1959,,johnny and the hurricanes,,"ATILA, Black Tulip, Cédé International",1959,True,False,,,True,False
Tragedy,Thomas Wayne,5,19,1959,Thomas Wayne With the Delons,thomas wayne,,"Fernwood, Jasmine Records",1959,True,False,,,True,False
Tragedy,the Delons,5,19,1959,Thomas Wayne With the Delons,the delons,,Fernwood,1959,True,False,,,True,False
I've Had It,The Bell Notes,6,16,1959,,the bell notes,,"Collectables, Time Records",1959,True,False,"rock, pop rock, rock and roll","rock, pop rock, rock and roll",True,False
So Many Ways,Brook Benton,6,16,1959,,brook benton,,"Mercury Records, Oasis",1959,True,False,,,False,True
Tallahassee Lassie,Freddy Cannon,6,15,1959,,freddy cannon,,Swan Records,1959,True,False,,,False,True
We Got Love,Bobby Rydell,6,17,1959,,bobby rydell,,Cameo,1959,True,False,,,False,True
What'd I Say (Part I & II),Ray Charles and his Orchestra,6,15,1959,,ray charles,ray charles and his orchestra,,1959,True,False,,,False,True
What'd I Say (Part I & II),Ray Charles and his Orchestra,6,15,1959,,his orchestra,ray charles and his orchestra,,1959,True,False,,,False,True
Broken-Hearted Melody,Sarah Vaughan,7,19,1959,,sarah vaughan,,Mercury Records,1959,True,False,,,True,False
Deck Of Cards,Wink Martindale,7,17,1959,,wink martindale,,"Dot Records, London Records",1959,True,False,,,True,False
Tall Paul,Annette,7,15,1959,Annette With The Afterbeats,annette,,,1959,True,False,,,False,True
Tall Paul,The Afterbeats,7,15,1959,Annette With The Afterbeats,the afterbeats,,,1959,True,False,,,True,False
The Village Of St. Bernadette,Andy Williams,7,13,1959,,andy williams,,"Cadence Records, Collectables",1959,True,False,,,False,True
Peter Gunn,Ray Anthony and His Orchestra,8,17,1959,,ray anthony,ray anthony and his orchestra,,1959,True,False,,,True,False
Peter Gunn,Ray Anthony and His Orchestra,8,17,1959,,his orchestra,ray anthony and his orchestra,,1959,True,False,,,True,False
Primrose Lane,Jerry Wallace With The Jewels,8,21,1959,,jerry wallace,jerry wallace with the jewels,,1959,True,False,,,True,False
Primrose Lane,Jerry Wallace With The Jewels,8,21,1959,,the jewels,jerry wallace with the jewels,,1959,True,False,,,True,False
Tell Him No,Travis & Bob,8,13,1959,,travis & bob,,,1959,True,False,,,True,False
What A Diff'rence A Day Makes,Dinah Washington,8,20,1959,,dinah washington,,"Mercury Records, Verve",1959,True,False,,,False,True
(Seven Little Girls) Sitting In The Back Seat,Paul Evans and the Curls,9,18,1959,,paul evans and the curls,,,1959,True,False,,,True,False
Forty Miles Of Bad Road,Duane Eddy And The Rebels,9,15,1959,,duane eddy,duane eddy and the rebels,,1959,True,False,,,False,True
Forty Miles Of Bad Road,Duane Eddy And The Rebels,9,15,1959,,the rebels,duane eddy and the rebels,,1959,True,False,,,False,True
Hound Dog Man,Fabian,9,15,1959,,fabian,,Chancellor,1959,True,False,,,False,True
Oh! Carol,Neil Sedaka,9,18,1959,,neil sedaka,,RCA Victor,1959,True,False,,,False,True
Only You,Franck Pourcel's French Fiddles,9,16,1959,,franck pourcel's french fiddles,,,1959,True,False,,,True,False
Pretty Blue Eyes,Steve Lawrence,9,18,1959,,steve lawrence,,ABC-Paramount,1959,True,False,,,False,True
Turn Me Loose,Fabian,9,13,1959,,fabian,,Collectables,1959,True,False,,,False,True
Baby Talk,Jan & Dean,10,12,1959,,jan & dean,,,1959,True,False,,,False,True
You Got What It Takes,Marv Johnson,10,22,1959,,marv johnson,,"Black Tulip, Jasmine Records, United Artists",1959,True,False,,,False,True
Alley-Oop,Hollywood Argyles,1,15,1960,,hollywood argyles,,"London Records, Lute Records",1960,True,False,,,True,False
Calcutta,Lawrence Welk And His Orchestra,1,17,1960,,lawrence welk,lawrence welk and his orchestra,,1960,True,False,,,True,False
Calcutta,Lawrence Welk And His Orchestra,1,17,1960,,his orchestra,lawrence welk and his orchestra,,1960,True,False,,,True,False
Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini,Brian Hyland,1,15,1960,,brian hyland,,"Kapp Records, London American Recordings, London Records",1960,True,False,,,False,True
Mr. Custer,Larry Verne,1,13,1960,,larry verne,,Era Records,1960,True,False,,,True,False
Stay,Maurice Williams & The Zodiacs,1,18,1960,,maurice williams & the zodiacs,,"Acrobat Music, HHO, Herald",1960,True,False,"doo-wop, rock roll, soundtrack, ballads, rock & roll",doo-wop,True,False
"The Theme From ""A Summer Place""",Percy Faith And His Orchestra,1,21,1960,,percy faith,percy faith and his orchestra,Columbia,1960,True,False,,,True,False
"The Theme From ""A Summer Place""",Percy Faith And His Orchestra,1,21,1960,,his orchestra,percy faith and his orchestra,Columbia,1960,True,False,,,True,False
The Twist,Chubby Checker,1,39,1960,,chubby checker,,"L.T. Series, Mastertech, Parkway",1960,True,False,,,False,True
Wonderland By Night,Bert Kaempfert And His Orchestra,1,17,1960,,bert kaempfert and his orchestra,,,1960,True,False,,,True,False
Chain Gang,Sam Cooke,2,16,1960,,sam cooke,,RCA Victor,1960,True,False,,,False,True
Exodus,Ferrante & Teicher,2,21,1960,,ferrante & teicher,,,1960,True,False,,,False,True
Greenfields,The Brothers Four,2,20,1960,,the brothers four,,"Columbia, Folk Era Records, Jasmine Records",1960,True,False,"folk, classic soft rock, pop, folk rock","folk, pop, folk rock",True,False
Last Date,Floyd Cramer,2,20,1960,,floyd cramer,,"Collectables, RCA, RCA Victor",1960,True,False,,,False,True
Only The Lonely (Know How I Feel),Roy Orbison,2,21,1960,,roy orbison,,"London American Recordings, London Records",1960,True,False,,,False,True
Poetry In Motion,Johnny Tillotson,2,15,1960,,johnny tillotson,,"Ace, Cadence Records, Castle Select",1960,True,False,,,False,True
Shop Around,"The Miracles (featuring Bill ""Smokey"" Robinson)",2,16,1960,,"the miracles (featuring bill ""smokey"" robinson)",,,1960,True,False,,,True,False
Walk -- Don't Run,The Ventures,2,18,1960,,the ventures,,,1960,True,False,,,False,True
A Thousand Stars,Kathy Young,3,17,1960,Kathy Young With The Innocents,kathy young,,"Black Tulip, Indigo Records",1960,True,False,,,True,False
A Thousand Stars,The Innocents,3,17,1960,Kathy Young With The Innocents,the innocents,,"Black Tulip, Indigo Records",1960,True,False,,,True,False
You Talk Too Much,Joe Jones,3,13,1960,,joe jones,,"Roulette, Sequel Records",1960,True,False,,,True,False
He'll Have To Stay,Jeanne Black,4,11,1960,,jeanne black,,Capitol Records,1960,True,False,,,True,False
A Million To One,Jimmy Charles,5,15,1960,Jimmy Charles and The Revelletts,jimmy charles,,Promo Records,1960,True,False,,,True,False
A Million To One,The Revelletts,5,15,1960,Jimmy Charles and The Revelletts,the revelletts,,Promo Records,1960,True,False,,,True,False
Angel Baby,Rosie And The Originals,5,13,1960,,rosie,rosie and the originals,,1960,True,False,,,True,False
Angel Baby,Rosie And The Originals,5,13,1960,,rosie,rosie and the originals,,1960,True,False,,,True,False
Angel Baby,Rosie And The Originals,5,13,1960,,rosie,rosie and the originals,,1960,True,False,,,True,False
Angel Baby,Rosie And The Originals,5,13,1960,,rosie,rosie and the originals,,1960,True,False,,,True,False
Angel Baby,Rosie And The Originals,5,13,1960,,the originals,rosie and the originals,,1960,True,False,,,True,False
Angel Baby,Rosie And The Originals,5,13,1960,,the originals,rosie and the originals,,1960,True,False,,,True,False
Angel Baby,Rosie And The Originals,5,13,1960,,the originals,rosie and the originals,,1960,True,False,,,True,False
Angel Baby,Rosie And The Originals,5,13,1960,,the originals,rosie and the originals,,1960,True,False,,,True,False
Mule Skinner Blues,The Fendermen,5,18,1960,,the fendermen,,"Cuca Records, Dee Jay Jamboree, Lightning Records",1960,True,False,,,True,False
Paper Roses,Anita Bryant,5,17,1960,,anita bryant,,"Carlton, Collectables",1960,True,False,,,False,True
Sailor (Your Home Is The Sea),Lolita,5,18,1960,,lolita,,Kapp Records,1960,True,False,"pop, pop rock, oldies","pop, pop rock",True,False
The Old Lamplighter,Jim Edward Brown,5,15,1960,The Browns Featuring Jim Edward Brown,jim edward brown,,,1960,True,False,,,True,False
Image Of A Girl,Safaris,6,18,1960,Safaris with The Phantom's Band,safaris,,Eldo Records,1960,True,False,,,True,False
Image Of A Girl,The Phantom's Band,6,18,1960,Safaris with The Phantom's Band,the phantom's band,,Eldo Records,1960,True,False,,,True,False
"Let's Go, Let's Go, Let's Go",Hank Ballard And The Midnighters,6,16,1960,,hank ballard and the midnighters,,,1960,True,False,,,False,True
New Orleans,U.S. Bonds,6,14,1960,,u.s. bonds,,,1960,True,False,,,False,True
Finger Poppin' Time,Hank Ballard And The Midnighters,7,26,1960,,hank ballard and the midnighters,,,1960,True,False,,,False,True
Let The Little Girl Dance,Billy Bland,7,20,1960,,billy bland,,Old Town Records,1960,True,False,,,True,False
Let's Think About Living,Bob Luman,7,14,1960,,bob luman,,"Bear Family Records, Warner Bros. Records",1960,True,False,"rock, country","rock, country",True,False
Love You So,Ron Holden,7,19,1960,Ron Holden with The Thunderbirds,ron holden,,Donna,1960,True,False,,,True,False
Love You So,The Thunderbirds,7,19,1960,Ron Holden with The Thunderbirds,the thunderbirds,,Donna,1960,True,False,,,True,False
Mission Bell,Donnie Brooks,7,20,1960,,donnie brooks,,"Era Records, TeenAger Records",1960,True,False,,,True,False
Tell Laura I Love Her,Ray Peterson,7,14,1960,,ray peterson,,"Bear Family Records, Collectables, Globe",1960,True,False,,,False,True
"Please Help Me, I'm Falling",Hank Locklin,8,22,1960,,hank locklin,,"BMG Special Products, RCA Victor",1960,True,False,,,True,False
Yogi,The Ivy Three,8,10,1960,,the ivy three,,Shell,1960,True,False,"rock and roll, rock, pop, comedy","rock and roll, rock, pop, comedy",True,False
You're Sixteen,Johnny Burnette,8,15,1960,,johnny burnette,,,1960,True,False,,,True,False
Blue Angel,Roy Orbison,9,14,1960,,roy orbison,,"Monument, Spades Records",1960,True,False,,,False,True
"Corinna, Corinna",Ray Peterson,9,15,1960,,ray peterson,,London Records,1960,True,False,,,False,True
Forever,The Little Dippers,9,14,1960,,the little dippers,,University Records,1960,True,False,,,True,False
The Christmas Song (Merry Christmas To You),Nat King Cole,9,42,1960,,nat king cole,,Capitol Records,1960,True,False,,,False,True
White Silver Sands,Bill Black's Combo,9,14,1960,,bill black's combo,,,1960,True,False,,,True,False
Happy-Go-Lucky-Me,Paul Evans,10,14,1960,,paul evans,,Guaranteed Records,1960,True,False,,,True,False
In My Little Corner Of The World,Anita Bryant,10,14,1960,,anita bryant,,Carlton,1960,True,False,,,False,True
Theme From The Apartment,Ferrante & Teicher,10,20,1960,,ferrante & teicher,,,1960,True,False,,,False,True
Big Bad John,Jimmy Dean,1,16,1961,,jimmy dean,,"Bear Family Records, Columbia, Philips",1961,True,False,,,False,True
Blue Moon,The Marcels,1,14,1961,,the marcels,,"Collectables, Colpix, JB Production CH",1961,True,False,"rock and roll, doo-wop","rock and roll, doo-wop",False,True
Michael,The Highwaymen,1,17,1961,,the highwaymen,,"EMI Records USA, United Artists",1961,True,False,,,True,False
Moody River,Pat Boone,1,15,1961,,pat boone,,Dot Records,1961,True,False,,,False,True
Mother-In-Law,Ernie K-Doe,1,14,1961,,ernie k-doe,,,1961,True,False,,,True,False
Peppermint Twist - Part I,Joey Dee & the Starliters,1,18,1961,,joey dee & the starliters,,,1961,True,False,,,False,True
Please Mr. Postman,The Marvelettes,1,23,1961,,the marvelettes,,"Hallmark Music & Entertainment, Motown, Tamla",1961,True,False,,,False,True
Runaway,Del Shannon,1,17,1961,,del shannon,,"Beat Goes On Records, Bigtop, Black Tulip",1961,True,False,,,False,True
The Lion Sleeps Tonight,The Tokens,1,15,1961,,the tokens,,"Back Biter, Digimode Entertainment Ltd., RCA",1961,True,False,,,True,False
Tossin' And Turnin',Bobby Lewis,1,23,1961,,bobby lewis,,"Beltone Records, Jasmine Records, Oldies.com",1961,True,False,,,False,True
Wooden Heart,Joe Dowell,1,16,1961,,joe dowell,,"Bear Family Records, Radio Archives, Smash Records",1961,True,False,,,True,False
Apache,Jorgen Ingmann,2,17,1961,Jorgen Ingmann & His Guitar,jorgen ingmann,,,1961,True,False,,,True,False
Apache,His Guitar,2,17,1961,Jorgen Ingmann & His Guitar,his guitar,,,1961,True,False,,,True,False
Bristol Stomp,The Dovells,2,16,1961,,the dovells,,"K‐tel, Park, Parkway",1961,True,False,"rock roll, doo-wop",doo-wop,False,True
Daddy's Home,Shep And The Limelites,2,14,1961,,shep and the limelites,,,1961,True,False,,,True,False
"I Like It Like That, Part 1",Chris Kenner,2,17,1961,,chris kenner,,,1961,True,False,,,True,False
Raindrops,Dee Clark,2,16,1961,,dee clark,,"Neon, Vee-Jay Records",1961,True,False,,,True,False
The Mountain's High,Dick and DeeDee,2,15,1961,,dick and deedee,,,1961,True,False,,,True,False
A Hundred Pounds Of Clay,Gene McDaniels,3,15,1961,,gene mcdaniels,,"Beat Goes On Records, Collectables, EMI",1961,True,False,,,False,True
Goodbye Cruel World,James Darren,3,17,1961,,james darren,,"Collectables, Globe",1961,True,False,,,False,True
I Know (You Don't Love Me No More),Barbara George,3,19,1961,,barbara george,,A.F.O. Records,1961,True,False,,,True,False
I've Told Every Little Star,Linda Scott,3,14,1961,,linda scott,,"Canadian-American Records, Columbia Records, Eric Records",1961,True,False,,,False,True
Last Night,Mar-Keys,3,14,1961,,mar-keys,,,1961,True,False,,,True,False
My True Story,The Jive Five,3,19,1961,The Jive Five With Joe Rene And Orchestra,the jive five,,"Beltone Records, Relic Records",1961,True,False,"doo-wop, soul, rock and roll, doo wop, rock roll, oldies, doowop, pop, r&b","doo-wop, soul, rock and roll, pop, r&b",True,False
