label,big_3_affiliation,year,#_of_connected_artists,#_of_connected_artists_rolling5,total_power_of_connected_artists,total_power_of_connected_artists_rolling5
!K7,Other,1977,1,1,74,74
!K7,Other,1979,1,2,79,153
!K7,Other,2003,1,1,11,11
#1EpicCheck LLC,Other,2016,1,1,96,96
#23INCREDIBLEINDUSTRIES,Other,2016,1,1,65,65
1-800-Harmony,Other,1983,1,1,93,93
10 Records,Universal,1988,1,1,76,76
10 Records,Universal,1989,1,2,97,173
10 Records,Universal,1990,1,2,100,273
10 Summers Records,Other,2018,1,1,96,96
10 Summers Records,Other,2019,1,2,93,189
100 Hits,Other,2002,1,1,92,92
100% Silk,Other,1974,1,1,-4,-4
101 Distribution,Other,2005,1,1,0,0
101 Distribution,Other,2009,1,1,91,91
101 Distribution,Other,2012,1,2,32,123
101 South Records,Other,2002,1,1,92,92
1017 Brick Squad Records,Other,2005,1,1,0,0
1017 Brick Squad Records,Other,2009,1,1,91,91
1017 Brick Squad Records,Other,2010,1,2,95,186
1080p,Other,1987,1,1,100,100
10AKEE Music,Other,2013,1,1,97,97
10K Projects,Warner,2017,2,2,66,66
10K Projects,Warner,2018,2,3,197,263
10K Projects,Warner,2020,1,4,91,354
10K Projects,Warner,2023,1,2,97,188
11-7 Recording Corp,Other,2006,1,1,42,42
11:11 Media,Other,2006,1,1,95,95
12Tone Music,Other,2018,3,3,286,286
12Tone Music,Other,2019,2,3,129,415
12Tone Music,Other,2020,1,3,33,448
13,Other,1998,1,1,56,56
1320 Records,Other,2016,1,1,65,65
1400 Entertainment,Other,2017,1,1,37,37
143 Records,Warner,1970,1,1,96,96
143 Records,Warner,2001,1,1,93,93
14th Floor Records,Warner,1977,1,1,74,74
14th Floor Records,Warner,2005,1,1,-63,-63
14th Floor Records,Warner,2006,1,1,73,10
14th Floor Records,Warner,2008,1,1,98,108
15 Passenger,Other,2002,1,1,93,93
1501 Certified Entertainment,Other,2019,1,1,90,90
1505 Records,Other,2003,1,1,52,52
19 Recordings,Other,1972,1,1,100,100
19 Recordings,Other,2003,3,3,297,297
19 Recordings,Other,2005,2,5,197,494
19 Recordings,Other,2006,2,7,192,686
19 Recordings,Other,2007,3,10,281,967
19 Recordings,Other,2008,1,8,99,769
19 Recordings,Other,2009,2,10,190,959
19 Recordings,Other,2010,2,9,188,950
19 Recordings,Other,2011,2,9,196,954
19 Recordings,Other,2012,1,7,97,770
2000 FruitGum,Other,1958,1,1,91,91
2000 FruitGum,Other,1965,1,1,100,100
