iter	Logloss
0	0.6819387924
1	0.6718404628
2	0.6625483517
3	0.6535454689
4	0.6449553056
5	0.6374950473
6	0.6293033429
7	0.6254754493
8	0.6184817288
9	0.6143171062
10	0.6092710715
11	0.605521054
12	0.6018092072
13	0.5964005896
14	0.5911835228
15	0.5870974894
16	0.5829347128
17	0.5806893316
18	0.5774334848
19	0.5731780522
20	0.570421647
21	0.5681050136
22	0.5651456989
23	0.5608248782
24	0.5581845166
25	0.5568580417
26	0.5542222275
27	0.5518680423
28	0.5497579295
29	0.5475474774
30	0.5456627988
31	0.5446316348
32	0.5427753993
33	0.5407272233
34	0.5391428383
35	0.5367592453
36	0.5352030208
37	0.5327879369
38	0.531400015
39	0.5294261193
40	0.5282864031
41	0.5269910957
42	0.5260221407
43	0.5247873846
44	0.5236726087
45	0.5219783829
46	0.5219457936
47	0.5210867346
48	0.5198718002
49	0.5181981048
50	0.517092042
51	0.5157341306
52	0.5148210896
53	0.5139758956
54	0.5131503847
55	0.5104422406
56	0.5096477283
57	0.5090263256
58	0.5073513697
59	0.5064142182
60	0.5050960961
61	0.5042833588
62	0.5026653172
63	0.5008742972
64	0.4990598441
65	0.4987985036
66	0.4982071381
67	0.4966650605
68	0.4954976804
69	0.4946769308
70	0.4940728031
71	0.4914185508
72	0.4898591338
73	0.4889499481
74	0.4884126019
75	0.4874971358
76	0.4866696147
77	0.4848395539
78	0.4838966216
79	0.4828236936
80	0.4819339131
81	0.4808410298
82	0.4801228744
83	0.4791933062
84	0.4767629542
85	0.4760981693
86	0.4756965043
87	0.4749725299
88	0.4746679292
89	0.473631648
90	0.4726706005
91	0.4718664824
92	0.4712255479
93	0.4696199533
94	0.4689883579
95	0.468324394
96	0.4674647655
97	0.4668218954
98	0.4663968468
99	0.4649106166
100	0.4645604811
101	0.4637138125
102	0.462963133
103	0.4620250976
104	0.4608932784
105	0.4601857782
106	0.4600299532
107	0.4597534978
108	0.458907443
109	0.4575997491
110	0.4559829946
111	0.4555574749
112	0.4542350317
113	0.4529201457
114	0.4513346766
115	0.4506572885
116	0.4498840483
117	0.4492281668
118	0.4486877492
119	0.4481264096
120	0.4470382355
121	0.4461405356
122	0.4449475956
123	0.4440608359
124	0.4431654083
125	0.4426781958
126	0.4422423251
127	0.441152924
128	0.4402464074
129	0.4396159519
130	0.4378876659
131	0.4375189022
132	0.4363855829
133	0.435653866
134	0.4351220389
135	0.4346362269
136	0.433139521
137	0.4319398102
138	0.4315992854
139	0.4309845877
140	0.4302028859
141	0.4294146807
142	0.4287383935
143	0.4279028677
144	0.4269310122
145	0.4259179497
146	0.425532891
147	0.4241361956
148	0.4235840493
149	0.4227676759
150	0.4226186763
151	0.4223812916
152	0.4218231435
153	0.4206999294
154	0.4201530204
155	0.4191500009
156	0.4169287978
157	0.4166347674
158	0.4151578898
159	0.4145704628
160	0.4138338353
161	0.4128693636
162	0.4118794177
163	0.4116013947
164	0.4107744942
165	0.4103417702
166	0.4101950663
167	0.4100462128
168	0.409482269
169	0.4090067322
170	0.4089249901
171	0.4072812842
172	0.4060762385
173	0.4057145244
174	0.4049076351
175	0.4036581389
176	0.4027374039
177	0.4018626969
178	0.4017225773
179	0.4008521667
180	0.3997460752
181	0.399554228
182	0.3980808639
183	0.3970790036
184	0.3958626461
185	0.3949228185
186	0.3938625153
187	0.3935438873
188	0.3934485182
189	0.3921063108
190	0.3909977994
191	0.3909324643
192	0.3905040409
193	0.3896633959
194	0.3885535958
195	0.3879096153
196	0.3873226441
197	0.3865259474
198	0.3858278518
199	0.3855278271
