iter	Passed	Remaining
0	70	13977
1	74	7367
2	78	5141
3	80	3924
4	82	3198
5	83	2707
6	85	2370
7	87	2106
8	93	1980
9	94	1794
10	95	1639
11	96	1512
12	97	1407
13	99	1318
14	100	1235
15	101	1162
16	101	1097
17	103	1045
18	104	994
19	105	947
20	106	908
21	108	879
22	111	856
23	112	823
24	113	792
25	114	764
26	115	737
27	115	712
28	116	688
29	117	666
30	118	646
31	119	628
32	122	618
33	127	620
34	128	607
35	129	592
36	131	577
37	137	586
38	138	570
39	138	555
40	139	540
41	139	526
42	140	512
43	140	499
44	141	487
45	141	475
46	142	463
47	142	452
48	143	442
49	144	432
50	144	422
51	145	412
52	145	403
53	146	395
54	146	386
55	147	378
56	148	371
57	150	368
58	151	361
59	151	354
60	152	346
61	152	340
62	153	333
63	154	327
64	155	321
65	155	316
66	156	309
67	156	304
68	157	298
69	157	292
70	158	287
71	158	282
72	159	277
73	159	272
74	160	267
75	160	262
76	161	257
77	162	254
78	163	250
79	164	246
80	164	241
81	165	237
82	165	233
83	166	229
84	167	226
85	167	222
86	168	218
87	169	215
88	170	212
89	171	209
90	172	206
91	173	203
92	175	201
93	176	199
94	181	200
95	182	197
96	183	194
97	183	191
98	184	188
99	185	185
100	185	181
101	186	178
102	186	175
103	187	173
104	188	170
105	188	167
106	189	164
107	189	161
108	190	158
109	191	156
110	191	153
111	192	151
112	192	148
113	193	145
114	193	143
115	194	140
116	195	138
117	196	136
118	197	134
119	197	131
120	198	129
121	199	127
122	199	125
123	200	122
124	200	120
125	201	118
126	202	116
127	202	114
128	204	112
129	205	110
130	205	108
131	206	106
132	207	104
133	208	102
134	208	100
135	209	98
136	210	96
137	210	94
138	211	92
139	212	91
140	213	89
141	215	87
142	223	88
143	225	87
144	226	85
145	226	83
146	227	82
147	228	80
148	229	78
149	230	76
150	231	75
151	232	73
152	233	71
153	233	69
154	234	68
155	235	66
156	236	64
157	238	63
158	239	61
159	239	59
160	240	58
161	241	56
162	242	55
163	243	53
164	244	51
165	245	50
166	247	48
167	248	47
168	249	45
169	249	44
170	250	42
171	252	41
172	253	39
173	254	38
174	255	36
175	256	34
176	257	33
177	258	31
178	261	30
179	262	29
180	264	27
181	265	26
182	267	24
183	268	23
184	270	21
185	271	20
186	271	18
187	272	17
188	273	15
189	274	14
190	274	12
191	275	11
192	276	10
193	276	8
194	277	7
195	278	5
196	279	4
197	279	2
198	281	1
199	281	0
