iter	Logloss
0	0.6834663427
1	0.6670627786
2	0.6551207488
3	0.6437512433
4	0.6307377596
5	0.6218023973
6	0.6133615622
7	0.6083241106
8	0.5949701157
9	0.5875779289
10	0.5847846858
11	0.5768264705
12	0.5692532959
13	0.5636067455
14	0.5605036927
15	0.5552197974
16	0.5513319406
17	0.5461163358
18	0.5393248527
19	0.5348603495
20	0.5326056063
21	0.5290347734
22	0.5244750013
23	0.5186705076
24	0.5142362126
25	0.511871039
26	0.5084618594
27	0.5041277546
28	0.5014024587
29	0.4989179377
30	0.4960043448
31	0.4934192751
32	0.4901659879
33	0.487502835
34	0.485060597
35	0.4831842649
36	0.4797936521
37	0.4759946145
38	0.4745018494
39	0.4727868322
40	0.4702990779
41	0.4693032708
42	0.4674717328
43	0.4655995515
44	0.4641216197
45	0.4598561171
46	0.4585498923
47	0.4559679895
48	0.4533795452
49	0.4506573946
50	0.4498053536
51	0.4464470419
52	0.4449380715
53	0.4424900298
54	0.4415586329
55	0.4397157647
56	0.4370424254
57	0.4352948313
58	0.4331723785
59	0.4313788669
60	0.4292841658
61	0.4280419684
62	0.4268497172
63	0.4249768646
64	0.4239215672
65	0.4231713625
66	0.4214033819
67	0.4196842072
68	0.4176707771
69	0.4152847543
70	0.4127036667
71	0.4111162419
72	0.4092206357
73	0.4082956822
74	0.4071857474
75	0.4056018623
76	0.4051266178
77	0.4040431706
78	0.403177115
79	0.4019096866
80	0.4011194577
81	0.3995326357
82	0.3976884622
83	0.3967044199
84	0.3955409853
85	0.3948310509
86	0.3928982333
87	0.3913250623
88	0.388668313
89	0.3869571485
90	0.385020302
91	0.3842317234
92	0.3833728074
93	0.3817631161
94	0.3809495428
95	0.3803791219
96	0.3788537654
97	0.3777605592
98	0.377058758
99	0.3759466717
100	0.3753518497
101	0.3747594498
102	0.3734599353
103	0.372723599
104	0.3715554266
105	0.3698975921
106	0.3688404477
107	0.3672861851
108	0.3663182332
109	0.3640346919
110	0.3627194496
111	0.3611892407
112	0.3591365476
113	0.3576690125
114	0.3571680796
115	0.3561367614
116	0.3551807673
117	0.3540785899
118	0.3531172619
119	0.3509590117
120	0.3501333604
121	0.348699121
122	0.3470968811
123	0.346151927
124	0.3448782721
125	0.3435579659
126	0.3423861689
127	0.3411925302
128	0.3400637361
129	0.3387540639
130	0.3379454574
131	0.3363421445
132	0.3345148672
133	0.3326417844
134	0.3319223877
135	0.3313807323
136	0.330143168
137	0.3295822374
138	0.3287697469
139	0.3273743428
140	0.3256292429
141	0.3245198693
142	0.3233961661
143	0.3218521245
144	0.3203590091
145	0.3195481386
146	0.3189725371
147	0.3183775295
148	0.3180816739
149	0.3169809247
150	0.3162238234
151	0.314466308
152	0.3135258728
153	0.3127494911
154	0.3111535863
155	0.309693421
156	0.3081834755
157	0.3063244619
158	0.304639244
159	0.3029583402
160	0.3013946356
161	0.3001100724
162	0.298910168
163	0.2987595513
164	0.2973205239
165	0.2971198248
166	0.2959703932
167	0.2947071095
168	0.2935494052
169	0.2933051709
170	0.2932300611
171	0.2923365347
172	0.2920285854
173	0.2917127245
174	0.2906202038
175	0.2900615866
176	0.2883316525
177	0.2875370613
178	0.2861976728
179	0.2847951914
180	0.2836745821
181	0.2821050444
182	0.2818080899
183	0.2810216534
184	0.2808722851
185	0.279865803
186	0.2797331266
187	0.279420771
188	0.2788294068
189	0.2776244879
190	0.2767829437
191	0.2758183897
192	0.2749429281
193	0.2735619829
194	0.2723099832
195	0.2717861245
196	0.2703384384
197	0.2690198319
198	0.268349301
199	0.2681392011
