performer_normalized,performer,first_song_year,last_song_year,first_album_year,last_album_year,years_active_on_charts,#_of_unique_years_active,total_charting_songs,total_charting_albums,#1_hit_song_count,#1_hit_album_count,top_10_song_count,top_10_album_count,top_20_song_count,top_20_album_count,top_50_song_count,top_50_album_count,highest_charting_song_name,highest_charting_song_position,first_charting_song_name,first_charting_song_position,first_charting_song_duration,total_charting_songs_duration_weeks,highest_charting_album_name,highest_charting_album_position,first_charting_album_name,first_charting_album_position,first_charting_album_duration,total_charting_albums_duration_weeks,tags,genre_tags_musicbrainz,first_year_on_chart_songs,first_year_top_20_songs,first_year_top_10_songs,first_year_num1_songs,first_year_on_chart_albums,first_year_top_20_albums,first_year_top_10_albums,first_year_num1_albums,aggregate_labels,first_top_10_hit_song_genre_tags,first_top_10_hit_album_genre_tags,genre_tags_through_first_top_10_hit,top_10_hit_song_in_first_year_on_charts,top_10_hit_album_in_first_year_on_charts,top_10_hit_album_or_song_in_first_year_on_charts,years_before_first_top_10_hit_song,years_before_first_top_10_hit_album,years_before_first_top_10_hit_song_or_album,top_10_1hit_wonder_song,top_10_1hit_wonder_album,top_10_hitmaker_songs,top_10_hitmaker_albums,musicbrainz_artist_id,degree_centrality_top10_yearly,degree_centrality_firstsong_yearly,degree_centrality_top10_rolling10,degree_centrality_firstsong_rolling10,degree_centrality_top10_cumulative,degree_centrality_firstsong_cumulative,closeness_centrality_top10_yearly,closeness_centrality_firstsong_yearly,closeness_centrality_top10_rolling10,closeness_centrality_firstsong_rolling10,closeness_centrality_top10_cumulative,closeness_centrality_firstsong_cumulative,harmonic_closeness_centrality_top10_yearly,harmonic_closeness_centrality_firstsong_yearly,harmonic_closeness_centrality_top10_rolling10,harmonic_closeness_centrality_firstsong_rolling10,harmonic_closeness_centrality_top10_cumulative,harmonic_closeness_centrality_firstsong_cumulative,betweenness_centrality_top10_yearly,betweenness_centrality_firstsong_yearly,betweenness_centrality_top10_rolling10,betweenness_centrality_firstsong_rolling10,betweenness_centrality_top10_cumulative,betweenness_centrality_firstsong_cumulative,eigenvector_centrality_top10_yearly,eigenvector_centrality_firstsong_yearly,eigenvector_centrality_top10_rolling10,eigenvector_centrality_firstsong_rolling10,eigenvector_centrality_top10_cumulative,eigenvector_centrality_firstsong_cumulative
"""weird al"" yankovic","""Weird Al"" Yankovic",1983.0,2014.0,,,1983-2014,8,11,0,0,0,1,0,2,0,5,0,White & Nerdy,9,Ricky,63,8,91,,0,,0,0,0,,,1983.0,1984.0,2006.0,,,,,,,,,,False,False,False,23.0,,23.0,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
& jack harlow,& Jack Harlow,2021.0,2021.0,,,2021-2021,1,1,0,1,0,1,0,1,0,1,0,Industry Baby,1,Industry Baby,1,42,42,,0,,0,0,0,,,2021.0,2021.0,2021.0,2021.0,,,,,,,,,True,False,True,0.0,,0.0,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'n sync,'N Sync,1998.0,2002.0,1998.0,2005.0,1998-2005,6,12,5,1,2,6,4,9,4,10,5,It's Gonna Be Me,1,(God Must Have Spent) A Little More Time On You,8,22,232,No Strings Attached,1,'N Sync,2,109,281,,,1998.0,1998.0,1998.0,2000.0,1998.0,1998.0,1998.0,2000.0,,,,,True,True,True,0.0,0.0,0.0,False,False,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'til tuesday,'Til Tuesday,1985.0,1989.0,1985.0,1988.0,1985-1989,5,5,3,0,0,1,0,1,1,2,2,Voices Carry,8,Voices Carry,8,21,53,Voices Carry,19,Voices Carry,19,31,76,,,1985.0,1985.0,1985.0,,1985.0,1985.0,,,,,,,True,False,True,0.0,,0.0,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*nsync,*NSYNC,2023.0,2024.0,2014.0,2024.0,2014-2024,3,2,3,0,0,1,1,1,1,2,3,Bye Bye Bye,4,Better Place,25,6,30,Home For Christmas,7,The Essential *NSync,25,2,56,"pop, dance-pop, boy band, teen pop, blue-eyed soul, 00s, pop soul, r&b, 90s, 1990s","pop, dance-pop, teen pop, blue-eyed soul, pop soul, r&b",2023.0,2024.0,2024.0,,2023.0,2023.0,2023.0,,"RCA, Jive, Legacy, Sony Music Entertainment",,,,False,True,False,1.0,0.0,9.0,True,True,False,False,2261.0,,,,,0.0002011505813251,0.0002089602139752,,,,,0.1680598617234632,0.1667635706140285,,,,,4371.894604414328,4179.159742054481,,,,,0.0001080949723592,0.0001230790876208,,,,,1.2433677278926968e-05,1.2254885721236683e-05
100 proof aged in soul,100 Proof Aged in Soul,1969.0,1972.0,1970.0,1970.0,1969-1972,4,4,1,0,0,1,0,1,0,2,0,Somebody's Been Sleeping,8,Too Many Cooks (Spoil The Soup),94,2,29,Somebody's Been Sleeping In My Bed,151,Somebody's Been Sleeping In My Bed,151,7,7,,,1969.0,1970.0,1970.0,,1970.0,,,,,,,,False,False,False,1.0,,1.0,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10cc,10cc,1973.0,1979.0,1974.0,1980.0,1973-1980,8,9,9,0,0,2,0,2,1,4,3,I'm Not In Love,2,Rubber Bullets,73,8,82,The Original Soundtrack,15,Sheet Music,81,14,106,"pop rock, progressive pop, art rock, art pop, pop, 1970s, soft rock, experimental rock, pop reggae, rock","pop rock, progressive pop, art rock, art pop, pop, soft rock, experimental rock, rock",1973.0,1975.0,1975.0,,1974.0,1975.0,,,"Decca Records, Euro Sound, Falcon Neue Medien, Avex UK, Collectables, Mercury Records",,,"pop, rock, soft rock, classic rock, disco, pop rock",False,False,False,2.0,,2.0,False,False,True,False,18.0,,,0.0007112375533428,,0.0003835826620636,,,,0.0789756944164764,,0.090159201752522,,,,125.98607642357716,,254.36924880674547,,,,0.0,,0.0,,,,1.637778956172248e-05,,9.53589938933366e-06,
112,112,1996.0,2005.0,1996.0,2017.0,1996-2017,10,15,6,1,0,4,2,8,3,12,5,I'll Be Missing You,1,Only You,13,28,307,Part III,2,112,37,55,177,"contemporary r&b, pop, r&b, dariacore, miicore, epic collage, soul, glitch, 2000s, quiet storm","contemporary r&b, pop, r&b, dariacore, epic collage, soul, glitch, quiet storm",1996.0,1996.0,1997.0,1997.0,1996.0,1998.0,2001.0,,"Bad Boy Entertainment, Bad Boy Records, Crave, Track Masters, Arista, Atlantic, BMG",,r&b,,False,False,False,1.0,5.0,1.0,False,False,True,True,20091.0,0.0038709677419354,,0.0007295719844357,,0.0004211117349803,,0.0051612903225806,,0.0013132295719844,,0.0007580011229646,,4.5,,6.0,,6.0,,6.468283737601067e-06,,2.433089736466745e-07,,1.404099916577744e-07,,5.43672196740009e-20,,1.0825896561286798e-44,,3.748754537772276e-48,
1910 fruitgum co.,1910 Fruitgum Co.,1968.0,1969.0,1968.0,1969.0,1968-1969,2,7,3,0,0,3,0,3,0,5,0,Simon Says,4,Simon Says,4,14,76,Indian Giver,147,Simon Says,162,8,28,"bubblegum pop, pop, sunshine pop, teen pop, 1960s","bubblegum pop, pop, sunshine pop, teen pop",1968.0,1968.0,1968.0,,1968.0,,,,"Buddah Records, Buddha Records, Pye International",,,,True,False,True,0.0,,0.0,False,False,True,False,24587.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 chainz,"Drake, 2 Chainz & Kendrick Lamar",2012.0,2025.0,2012.0,2025.0,2012-2025,13,40,11,0,1,2,5,6,7,17,8,Talk Dirty,3,F**kin Problems,8,27,490,Based On A T.R.U. Story,1,Based On A T.R.U. Story,1,45,154,,,2012.0,2012.0,2012.0,,,,,,,,,,True,False,True,0.0,,0.0,False,False,True,True,843338.0,0.0107219442458899,0.0107219442458899,0.002620221948212,0.002620221948212,0.0012729314863347,0.0012729314863347,0.067541552184345,0.067541552184345,0.1202414787075182,0.1202414787075182,0.143989114876423,0.143989114876423,119.73095238095242,119.73095238095242,908.0053030303042,908.0053030303042,2097.21735037853,2097.21735037853,0.0064037569284198,0.0064037569284198,0.0009199195910751,0.0009199195910751,0.0009107978874006,0.0009107978874006,0.231530852872716,0.231530852872716,3.357882377641421e-05,3.357882377641421e-05,3.274847960845709e-06,3.274847960845709e-06
