performer_normalized,performer,first_song_year,last_song_year,first_album_year,last_album_year,years_active_on_charts,#_of_unique_years_active,total_charting_songs,total_charting_albums,#1_hit_song_count,#1_hit_album_count,top_10_song_count,top_10_album_count,top_20_song_count,top_20_album_count,top_50_song_count,top_50_album_count,highest_charting_song_name,highest_charting_song_position,first_charting_song_name,first_charting_song_position,first_charting_song_duration,total_charting_songs_duration_weeks,highest_charting_album_name,highest_charting_album_position,first_charting_album_name,first_charting_album_position,first_charting_album_duration,total_charting_albums_duration_weeks,tags,genre_tags_musicbrainz,first_year_on_chart_songs,first_year_top_20_songs,first_year_top_10_songs,first_year_num1_songs,first_year_on_chart_albums,first_year_top_20_albums,first_year_top_10_albums,first_year_num1_albums,aggregate_labels,first_top_10_hit_song_genre_tags,first_top_10_hit_album_genre_tags,genre_tags_through_first_top_10_hit,top_10_hit_song_in_first_year_on_charts,top_10_hit_album_in_first_year_on_charts,top_10_hit_album_or_song_in_first_year_on_charts,years_before_first_top_10_hit_song,years_before_first_top_10_hit_album,years_before_first_top_10_hit_song_or_album,top_10_1hit_wonder_song,top_10_1hit_wonder_album,top_10_hitmaker_songs,top_10_hitmaker_albums
$uicideboy$,$uicideboy$,2024.0,2026.0,2018.0,2026.0,2018-2026,8,9,8,0,0,0,5,0,5,0,8,Napoleon,54,The Thin Grey Line,71,1,11,Thy Kingdom Come,4,I Want To Die In New Orleans,9,4,91,"hip hop, southern hip hop, cloud rap, phonk, memphis rap, horrorcore, trap","hip hop, southern hip hop, cloud rap, phonk, memphis rap, horrorcore, trap",2024.0,,,,2023.0,2024.0,2024.0,,G*59 Records,,,,False,False,False,,1,6,False,False,False,True
'n sync,'N Sync,1998.0,2002.0,1998.0,2005.0,1998-2005,6,12,5,1,2,6,4,9,4,10,5,It's Gonna Be Me,1,(God Must Have Spent) A Little More Time On You,8,22,232,No Strings Attached,1,'N Sync,2,109,281,,,1998.0,1998.0,1998.0,2000.0,1998.0,1998.0,1998.0,2000.0,,,,,True,True,True,0,0,0,False,False,True,True
'weird al' yankovic,'Weird Al' Yankovic,,,1983.0,2017.0,1983-2017,16,0,16,0,1,0,3,0,8,0,11,,0,,0,0,0,Mandatory Fun,1,Weird Al Yankovic,139,7,274,,,,,,,1983.0,1984.0,2006.0,2014.0,,,,,False,False,False,,23,23,False,False,False,True
(+44),(+44),2006.0,2006.0,2006.0,2006.0,2006-2006,1,1,1,0,0,0,1,0,1,0,1,When Your Heart Stops Beating,89,When Your Heart Stops Beating,89,1,1,When Your Heart Stops Beating,10,When Your Heart Stops Beating,10,10,10,,,2006.0,,,,2006.0,2006.0,2006.0,,,,,,False,True,True,,0,0,False,True,False,False
*nsync,*NSYNC,2023.0,2024.0,2014.0,2024.0,2014-2024,3,2,3,0,0,1,1,1,1,2,3,Bye Bye Bye,4,Better Place,25,6,30,Home For Christmas,7,The Essential *NSync,25,2,56,"pop, dance-pop, boy band, teen pop, blue-eyed soul, 00s, pop soul, r&b, 90s, 1990s","pop, dance-pop, teen pop, blue-eyed soul, pop soul, r&b",2023.0,2024.0,2024.0,,2023.0,2023.0,2023.0,,"RCA, Jive, Legacy, Sony Music Entertainment",,,,False,True,False,1,0,9,True,True,False,False
112,112,1996.0,2005.0,1996.0,2017.0,1996-2017,10,15,6,1,0,4,2,8,3,12,5,I'll Be Missing You,1,Only You,13,28,307,Part III,2,112,37,55,177,"contemporary r&b, pop, r&b, dariacore, miicore, epic collage, soul, glitch, 2000s, quiet storm","contemporary r&b, pop, r&b, dariacore, epic collage, soul, glitch, quiet storm",1996.0,1996.0,1997.0,1997.0,1996.0,1998.0,2001.0,,"Bad Boy Entertainment, Bad Boy Records, Crave, Track Masters, Arista, Atlantic, BMG",,r&b,,False,False,False,1,5,1,False,False,True,True
2 chainz,"Drake, 2 Chainz & Kendrick Lamar",2012.0,2025.0,2012.0,2025.0,2012-2025,13,40,11,0,1,2,5,6,7,17,8,Talk Dirty,3,F**kin Problems,8,27,490,Based On A T.R.U. Story,1,Based On A T.R.U. Story,1,45,154,,,2012.0,2012.0,2012.0,,,,,,,,,,True,False,True,0,,0,False,False,True,True
21 savage,21 Savage,2016.0,2025.0,2016.0,2025.0,2016-2025,10,108,8,2,4,17,7,30,7,59,8,Rockstar,1,Sneakin',28,14,729,I Am > I Was,1,Savage Mode,23,69,638,"trap, hip hop, gangsta rap, southern hip hop, pop rap, mumble rap","trap, hip hop, gangsta rap, southern hip hop, pop rap",2016.0,2017.0,2017.0,2017.0,2016.0,2017.0,2017.0,2019.0,"Boominati Worldwide, Epic, Republic Records, Slaughter Gang, Capitol Records","hip hop, euro house",,"hip hop, trap, euro house",False,False,False,1,1,1,False,False,True,True
213,213,,,2004.0,2004.0,2004-2004,1,0,1,0,0,0,1,0,1,0,1,,0,,0,0,0,The Hard Way,4,The Hard Way,4,13,13,"hip hop, g-funk, west coast hip hop, likedis auto","hip hop, g-funk, west coast hip hop",,,,,2004.0,2004.0,2004.0,,"Dogg Foundation, Doggy Style Records, G-Funk Entertainment",,,,False,True,True,,0,0,False,True,False,False
2pac,2Pac,1993.0,2008.0,1992.0,2007.0,1992-2008,14,16,16,1,4,2,8,5,9,8,11,How Do U Want It/California Love,1,I Get Around,11,25,250,Me Against The World,1,2Pacalypse Now,64,23,1063,"gangsta rap, west coast hip hop, hip hop, political hip hop, conscious hip hop, g-funk, 90s, death by murder, pop rap","gangsta rap, west coast hip hop, hip hop, political hip hop, conscious hip hop, g-funk, pop rap",1993.0,1993.0,1995.0,1996.0,1992.0,1995.0,1995.0,1995.0,"Atlantic, Interscope Records, TNT Recordings, Amaru Entertainment, Amaru Records, BMG Japan, Death Row Records",,,hip hop,False,False,False,2,3,3,False,False,True,True
2pac + outlawz,2Pac + Outlawz,2000.0,2000.0,2000.0,2000.0,2000-2000,1,1,1,0,0,0,1,0,1,0,1,Baby Don't Cry (Keep Ya Head Up II),72,Baby Don't Cry (Keep Ya Head Up II),72,7,7,Still I Rise,6,Still I Rise,6,20,20,,,2000.0,,,,2000.0,2000.0,2000.0,,,,,,False,True,True,,0,0,False,True,False,False
3 doors down,3 Doors Down,2000.0,2011.0,2000.0,2016.0,2000-2016,10,10,8,0,2,3,5,5,6,6,7,Kryptonite,3,Kryptonite,3,53,268,Seventeen Days,1,The Better Life,7,93,368,"alternative rock, post-grunge, pop rock, hard rock, acoustic rock, southern rock, rock, alternative metal, vyrzukhisuc-artiest, 2000s","alternative rock, post-grunge, pop rock, hard rock, acoustic rock, southern rock, rock, alternative metal",2000.0,2000.0,2000.0,,2000.0,2000.0,2000.0,2005.0,"Republic Records, Universal Records, Universal Republic Records, BMG Direct, Universal Motown",,alternative rock,alternative rock,True,True,True,0,0,0,False,False,True,True
311,311,2004.0,2004.0,1994.0,2024.0,1994-2024,17,1,17,0,0,0,10,0,12,0,12,Love Song,59,Love Song,59,20,20,Uplifter,3,Grassroots,193,1,206,"alternative rock, rap rock, rock, funk rock, 2000s, reggae rock, pop reggae, american, reggae, 1990s","alternative rock, rap rock, rock, funk rock, reggae rock, reggae",2004.0,,,,1994.0,1995.0,1997.0,,"Capricorn Records, Enjoy the Ride Records, Legacy, 311 Records, Volcano Records, Columbia House",,,"rock, alternative rock, funk metal, rap rock",False,False,False,,3,3,False,False,False,True
38 special,38 Special,1980.0,1991.0,1980.0,1991.0,1980-1991,5,7,4,0,0,1,1,1,2,6,2,Caught Up In You,10,Rockin' Into The Night,43,9,91,Special Forces,10,Rockin' Into The Night,57,19,125,"southern rock, hard rock, blues rock, arena rock, aor, pop rock, rock, 2008 universal fire victim, classic rock, 1980s","southern rock, hard rock, blues rock, arena rock, aor, pop rock, rock, classic rock",1980.0,1982.0,1982.0,,1980.0,1981.0,1982.0,,"A&M Records, Collectables, Rock Candy",southern rock,,southern rock,False,False,False,2,2,2,True,True,False,False
3oh!3,3OH!3,2008.0,2012.0,2008.0,2016.0,2008-2016,7,12,4,0,0,3,1,3,1,4,2,Don't Trust Me,7,Don't Trust Me,7,37,101,Streets Of Gold,7,Want,44,51,64,"electronic, synth-pop, electropop, crunkcore, pop rock, alternative dance, pop, electronic rock, 2010s","electronic, synth-pop, electropop, crunkcore, pop rock, alternative dance, pop, electronic rock",2008.0,2008.0,2008.0,,2008.0,2010.0,2010.0,,Photo Finish Records,,,,True,False,True,0,2,0,False,True,True,False
3rdeyegirl,3RDEYEGIRL,,,2014.0,2014.0,2014-2014,1,0,1,0,0,0,1,0,1,0,1,,0,,0,0,0,PLECTRUMELECTRUM,8,PLECTRUMELECTRUM,8,4,4,,,,,,,2014.0,2014.0,2014.0,,"NPG Records, Paisley Park, Warner Bros. Records",,,,False,True,True,,0,0,False,True,False,False
42 dugg,42 Dugg,2020.0,2022.0,2020.0,2024.0,2020-2024,4,9,4,0,0,1,2,1,2,3,2,We Paid,10,We Paid,10,22,68,Last Ones Left,7,"Young & Turnt, Vol. 2",58,5,59,"detroit trap, hip hop, hardcore hip hop, 2020s, 42 dugg, trap, detroit","detroit trap, hip hop, hardcore hip hop, trap",2020.0,2020.0,2020.0,,2020.0,2021.0,2021.0,,"Quality Control Music, Universal, 4PF, CMG, New CMG Records P&D",,,,True,False,True,0,1,0,True,False,False,True
5 seconds of summer,5 Seconds Of Summer,2014.0,2022.0,2014.0,2025.0,2014-2025,8,15,8,0,3,1,7,2,8,9,8,Youngblood,7,Amnesia,16,20,143,5 Seconds Of Summer,1,5 Seconds Of Summer,1,66,188,"pop rock, pop punk, teen pop, pop, 2010s, power pop","pop rock, pop punk, teen pop, pop, power pop",2014.0,2014.0,2018.0,,2014.0,2014.0,2014.0,2014.0,"Capitol Records, Capitol Records UK, Hi or Hey Records, Universal Music",,,,False,True,True,4,0,0,True,False,False,True
50 cent,50 Cent,2002.0,2020.0,2003.0,2017.0,2002-2020,15,39,8,4,2,12,6,17,6,26,7,21 Questions,1,Wanksta,13,20,509,Get Rich Or Die Tryin',1,Get Rich Or Die Tryin',1,268,422,"hip hop, east coast hip hop, gangsta rap, rap, pop rap, hardcore hip hop","hip hop, east coast hip hop, gangsta rap, pop rap, hardcore hip hop",2002.0,2002.0,2003.0,2003.0,2003.0,2003.0,2003.0,2003.0,"Aftermath Entertainment, Interscope Records, Shady Records, G Unit, ChopNotSlop Ent.",,"hip hop, gangsta rap","hip hop, gangsta rap",False,True,False,1,0,1,False,False,True,True
504 boyz,504 Boyz,2000.0,2000.0,2000.0,2002.0,2000-2002,2,1,2,0,0,0,1,1,1,1,2,Wobble Wobble,17,Wobble Wobble,17,18,18,Goodfellas,2,Goodfellas,2,26,35,hip hop,hip hop,2000.0,2000.0,,,2000.0,2000.0,2000.0,,"No Limit Records, On the Low Records, Priority Records",,,,False,True,True,,0,0,False,True,False,False
6ix9ine,6ix9ine,2017.0,2022.0,2018.0,2020.0,2017-2022,6,20,3,1,0,3,3,4,3,13,3,Trollz,1,Gummo,12,20,139,DUMMY BOY,2,DUMMY BOY,2,26,69,"hip hop, trap, drill, 2010s, east coast hip hop, hardcore hip hop","hip hop, trap, drill, east coast hip hop, hardcore hip hop",2017.0,2017.0,2018.0,2020.0,2018.0,2018.0,2018.0,,"Strainge Entertainment, Scumgang Records, 10K Projects, Create Music Group, Hostess Entertainment Unlimited",,hip hop,hip hop,False,True,False,1,0,1,False,False,True,True
6lack,6LACK,2017.0,2021.0,2016.0,2023.0,2016-2023,6,7,4,0,0,1,1,2,2,2,4,Calling My Phone,3,Prblms,72,8,56,East Atlanta Love Letter,3,FREE 6LACK,34,73,106,"hip hop, hip hop soul, pop soul, contemporary r&b, 2010s, alternative r&b, trap soul","hip hop, hip hop soul, pop soul, contemporary r&b, alternative r&b, trap soul",2017.0,2021.0,2021.0,,2016.0,2018.0,2018.0,,"RCA, Alamo Records, Geffen Records, Columbia, Interscope Records, LVRN",hip hop,,r&b,False,False,False,4,2,2,True,True,False,False
8ball,8Ball & MJG,,,1994.0,2012.0,1994-2012,11,0,11,0,0,0,5,0,5,0,8,,0,,0,0,0,Living Legends,3,On The Outside Looking In,106,11,122,"hip hop, memphis rap","hip hop, memphis rap",,,,,1994.0,1995.0,1995.0,,"CRF Inc., SoSouth, Suave House, Relativity Records",,,,False,False,False,,1,1,False,False,False,True
98 degrees,98 Degrees,1997.0,2000.0,1997.0,2013.0,1997-2013,6,8,6,1,0,4,1,6,2,8,3,Thank God I Found You,1,Invisible Man,12,28,155,Revelation,2,98 Degrees,145,9,126,,,1997.0,1997.0,1998.0,,1997.0,1998.0,2000.0,,,,,,False,False,False,1,3,1,False,True,True,False
