artist_a,artist_b
246995,467961
1206587,1314088
1206587,1949175
1051,828613
58438,363607
1102644,1113622
35324,68469
35324,873887
35324,1240405
549575,1188618
1404376,1916216
1404376,1863942
1404376,1916217
246995,749585
58438,62438
998962,1771900
998962,1610905
1367206,2789361
805610,998962
183281,327771
623782,3056192
1404376,1603703
623782,1011058
1603703,1710247
1051,313727
1066704,1445809
238683,1092966
1404376,1480487
838288,1615497
1404376,2512013
163726,1088096
2860,2023026
972925,1662650
1896723,1923341
805610,2298857
549575,1403612
284517,1227339
843338,1258878
843338,857223
1404376,1887202
1404376,1839407
802582,1374093
998962,1710596
998962,1623533
2090,329552
233976,268788
58438,220064
972925,1343626
1277206,1444315
1486832,1492424
1922411,1956982
10262,355342
39926,2620948
160588,286239
136091,1209338
233976,1561635
233976,672931
233976,1197729
1486832,2083448
998962,1721499
802582,1410618
902690,2891144
902690,1857058
805610,964089
998962,1360448
998962,1063065
863096,923140
623782,1660559
2007,1077539
2821,23366
1404376,1742858
883133,1540959
136091,1267521
163726,1285187
20544,1852738
20544,1744675
549575,856920
843338,998368
843338,1276740
549575,698756
549575,757263
163726,465262
7615,1502974
58438,260987
481,14423
805610,877527
163013,1358509
998962,1635780
1206587,1616649
443,1163288
443,303196
998962,1701288
998962,1787596
136091,2865374
24018,1917565
24018,127482
549575,1705154
838288,867864
20544,1455831
20544,175352
843338,1031390
58438,1210041
58438,1962041
246995,311446
805610,906610
24018,1137671
802582,2019109
1206587,1696271
1352,245006
1277206,1379442
549575,2032987
549575,994084
504859,757263
1277206,1342385
921434,1254571
921434,1206366
838288,921434
838288,1254571
838288,1206366
10262,50128
10262,672447
1486832,1493482
24018,838288
843338,2137177
843338,1180308
176291,1742053
1130852,1381561
136091,610590
843338,1297008
253121,807928
998962,1342385
998962,1669618
1486832,1887202
1486832,1697548
843338,1277721
805610,1875956
843338,1478081
112577,1996114
1884238,1967607
1079903,1536122
1079903,1567659
10474,21982
838288,1534330
360,368
805610,917633
1851042,1887202
1851042,1926356
58438,629243
443,706819
549575,1701159
10262,917633
110033,147997
10262,58636
112760,158757
815831,965056
1277206,1696271
843338,2175202
843338,1765064
843338,894303
1051,1252876
1051,2834976
998962,1167241
233976,829965
233976,1917973
805610,1610321
1820772,1843296
1486832,1560062
1486832,1669618
1486832,1569686
623782,1167977
623782,1129057
932456,1317751
932456,1009811
58438,60875
110757,800178
233976,1167535
233976,1208931
632310,1816471
2077613,2315531
924464,1323631
623782,3079504
549575,2077734
163726,1124147
163726,813933
20544,240486
282355,774845
981199,1099578
838288,1620929
1404376,1518013
1692158,2177176
998962,1053251
549575,877527
10262,939035
2090,592683
10262,58518
390485,1418935
843338,1129204
32506,700599
998962,1605979
20544,624860
549575,1496882
549575,1757335
1206587,1445809
1206587,1258878
163726,1294131
136091,638368
10356,11998
998962,1556586
136091,1195592
10262,558899
998962,1014858
233976,1564083
843338,963869
549575,695122
443,50691
390485,673784
390485,1400189
390485,1121862
390485,2652815
863096,986752
1277206,1620929
24018,762201
163726,813145
233976,1561631
488615,1669346
43008,1068147
43008,856920
838288,1016480
838288,838293
1477650,2116044
20544,706819
163726,1247987
549575,1266500
443,1730071
443,2418381
883133,1198000
972925,1467120
972925,2059401
1851042,2053574
1603703,1710245
1603703,1710244
1603703,1710243
20544,611436
20544,1525131
20544,1603703
801962,922064
863096,1159443
863096,1129204
998962,1098330
932456,1197158
1851042,1941097
1206587,1305121
549575,1500387
11214,1468709
443,847007
549575,805794
549575,769555
24018,54861
1486832,1492427
136091,346436
1277206,1383395
1922411,1949638
2090,572166
2090,14403
2090,241744
2090,2147
2090,3175
2090,1447689
2090,239315
10262,48183
451876,1786543
451876,894946
233976,835442
233976,1079252
233976,1346261
549575,692291
1277206,1360448
1206587,1288953
843338,923140
233976,1124248
233976,1124249
233976,830139
233976,1124147
233976,702824
233976,1124146
233976,1124247
924464,1575231
838288,843338
805610,1752195
805610,1577687
998962,1598373
843338,1930097
843338,1930098
843338,1930099
1064354,1541036
58438,1614080
998962,1282361
371427,1638347
10262,32989
1486832,1542105
1486832,1489816
1486832,1489815
1486832,1489814
794431,1296121
1130852,1238150
163726,2758898
233976,812992
233976,1290934
163726,293944
843338,2171385
863096,1101421
815831,1176714
390485,1968953
1277206,1578685
632310,748045
1064354,1344213
20544,269029
2090,14642
1486832,1492430
924464,1575240
627661,1172940
1879374,2381917
1879374,1902296
1879374,1902294
1879374,3106405
131047,611343
838288,1540740
1603703,1966747
2090,994473
1477650,2037491
1477650,1808636
1477650,1808637
1206587,1838368
998962,1543033
838288,954152
998962,1161927
2007,48096
998962,1851042
549575,1417793
549575,883896
1677,1263491
104090,1405821
104090,1332390
104090,196017
1777231,1821894
1051,702628
1404376,1650772
131047,282581
549575,646439
843338,993218
843338,1063065
23629,53429
329707,853091
863096,1052979
163726,868899
163726,645007
163726,1823875
163726,1489816
843338,2228243
1851042,1886242
15357,15417
1486832,2407358
58438,2323009
163726,1458861
998962,1643047
359309,891590
136091,854285
1879374,1895244
200027,2047959
998962,1948381
137047,3021849
20544,1801430
20544,1878850
972925,2094777
136091,1429146
163726,1474962
163726,702824
390485,654058
131047,175996
873358,1890025
233976,1492430
1851042,2229345
163013,1976559
163726,1239569
549575,564548
1404376,1851226
24018,1445809
9296,47804
9296,225912
42692,1335623
801962,827614
801962,1027689
1851042,1899561
802582,1250002
163726,1486832
1036237,1096735
58438,372517
246995,2024429
58438,498900
489045,794014
489045,887402
489045,1593052
1820772,2105899
40,759597
1692158,1738697
1692158,2077613
33347,689792
623782,1229665
623782,1528681
1277206,1516647
