artist_a,artist_b
387,47367
38266,504327
14869,16161
12299,238337
116300,1017686
170115,417604
42495,690633
99,134685
528993,615209
12299,271581
37740,503064
38151,38266
170115,379742
2461,58043
1860,21982
12299,186223
991,104808
38266,2451441
4473,201586
9758,66984
991,33930
991,49611
14869,24340
12299,236202
12299,235975
4508,81539
116300,383979
12299,207641
1127,97155
42495,413573
14869,49408
4541,41129
14869,85171
1587,14585
12299,1079722
6488,299307
31429,530065
1587,9262
30567,615209
2171,30121
71102,512719
71102,503064
1587,32942
3248,262096
3248,446007
3248,446005
3248,446004
129880,176127
962,104807
37906,136452
71102,1132392
1587,178459
962,35363
962,30386
1587,120478
10081,128351
184318,221277
303,58935
813,1912
38266,39360
129880,258318
20291,21817
38266,242912
1,466257
2230,38520
16161,24340
4510,23395
4021,122431
1912,46447
4510,304949
813,46447
4510,238569
1,1893561
303,825
1165,31022
36913,39483
37740,176127
236,825
31097,59145
12299,491346
303,14564
14293,89146
813,21356
303,1135
15917,1241137
4510,200064
23156,39483
23156,36913
1135,58935
1912,21356
38498,389295
10081,71102
1135,14564
12299,304949
16161,85171
4473,4508
1587,21358
4510,207641
1758,363226
53180,288100
1,513607
4510,20877
4510,12439
146243,2434286
38151,2451441
825,1135
43396,423536
12299,262096
43364,670188
4022,42728
825,58935
12299,631827
4510,32513
825,14564
249425,454047
21358,21652
9262,32942
4696,52696
38151,39360
6081,52696
12299,238372
1156,3461
53508,418310
37740,258318
37740,422299
37740,245961
35366,35675
35366,117835
21356,46447
38151,504327
35366,137568
38151,242912
1587,21652
3248,242219
3467,2451441
37740,111900
111881,165060
36136,418310
3467,504327
1997,450684
10081,512719
3528,5022
163437,782946
1,1122609
191,31429
14411,31429
12299,71102
2230,5503
52488,1630740
37740,1081358
335262,1435003
46549,66192
102416,105021
125772,773148
71102,303191
71102,235975
1539,1803
137349,309172
137349,151892
3528,72104
137341,204040
46888,299307
30519,471753
1539,137349
3248,9860
1515,2628751
58632,109905
37948,54567
184318,305312
143281,1973000
143281,414603
12299,454047
4514,8815
10081,503064
813,129376
3467,38266
4514,16218
102416,1337554
3467,242912
102416,246749
52544,131918
24340,85171
1,2875034
1,2415185
1,464828
14564,58935
3467,39360
89738,1677979
3467,38151
49774,117943
49774,113707
387,181484
6436,51441
81539,1778873
1460,3739
6436,33266
164790,355664
10081,262096
37740,71767
10081,238338
12299,100418
21009,114425
1127,34087
37740,129880
3705,3711
39360,2451441
962,9386
3248,10081
173661,1677979
3248,512719
3248,586913
11386,34598
175631,231106
73294,114997
3250,125089
4293,136335
2864,1825329
2863,1199409
3248,238338
3248,236304
99,77284
3081,61711
1803,137349
3248,503064
37948,2434286
30323,1106681
2863,530065
175379,1477929
9456,37435
1629,59145
23678,100418
12299,366769
2863,31429
46549,2066659
1,463722
79495,505660
1663,38829
9746,1296664
46549,214360
1,463718
10081,128760
51230,63046
1,466259
37948,146243
46549,2066660
71102,238338
3248,10239
175195,382656
37250,162404
71102,128760
175195,1782898
3248,37545
37948,66183
71102,128351
3248,71102
71102,124769
4696,6081
3248,128351
71102,438926
31429,1199409
3248,64981
99,1948629
71102,442461
20334,477083
20334,622460
39598,670475
39360,504327
5039,137343
32763,1845561
1515,286088
71102,238337
5039,451738
5263,9618
34087,97155
47367,363226
1803,309172
12299,442313
39360,242912
1803,151892
