artist_a,artist_b
71102,297401
6664,66556
6664,62617
146,210445
94739,366487
6664,51649
11046,34790
6664,43000
1,328116
938,212022
20534,142252
146,100632
11050,24185
11047,113474
94739,1183176
95042,101068
94739,1183179
94739,1183177
94739,1183175
11050,491293
71102,327771
94739,722412
146,113474
11050,399115
11047,30332
6664,113474
71102,442084
62617,66556
94739,293579
2600,12692
62617,83979
847269,847271
938,491293
938,399115
11047,20319
2600,31061
373,10213
11047,30326
2600,31098
253,22918
51966,104458
94739,146204
6664,100632
6664,83979
168714,466101
11050,129761
11050,53334
6664,96696
11050,49463
11050,16160
11050,43631
11050,36371
94739,264835
2763,20319
42495,216832
71102,1105819
11465,48909
11465,48488
20639,22684
10960,22141
20894,167328
11368,89950
11368,72675
801,35661
50697,352558
11368,40167
11465,70008
964,491293
50347,354586
50347,118006
12299,32204
62668,1026599
12299,65273
1607,740756
10946,36138
493,11999
71102,434949
51290,1215043
1607,43390
11050,11657
387,491293
71102,954263
71102,885234
71102,358859
71102,354495
71102,353215
11999,64872
387,203417
71102,352446
42495,227618
11050,12711
11050,15937
11046,33542
2600,11046
6448,3111604
62668,310991
10946,237524
10946,237522
62668,406546
62668,614389
73294,105832
10946,774244
11368,433471
73294,582341
20894,122993
1010,128628
42495,54733
62668,249263
42495,200969
71102,420985
6083,12711
109916,257867
1111,5161
99465,1228851
6083,15937
6083,16160
1644,16513
1648,437986
1114,3184
1648,492516
12299,236802
1648,317431
5411,515876
6081,49463
387,12711
3103,30095
482,160588
6081,43631
6081,36371
12299,247114
99600,838096
2121,32564
373,110946
3103,5197
12299,444313
938,15937
6083,11050
99600,838097
99465,913166
6081,53334
5498,477140
101,792985
5498,473478
50039,59855
5498,413540
12299,354159
5498,406142
14548,318033
12299,354495
976,38266
938,5737
14410,35532
236,245006
99465,186150
99465,173364
6083,6453
15689,1931739
6083,6902
387,16160
387,15937
12299,483193
6081,491293
6081,399115
6081,129761
15290,21001
1051,950464
136,956
136,192
2600,31101
71102,391690
109916,524067
109916,2325783
94020,1472543
2600,33542
12299,238344
94020,1308713
94020,1179278
11047,43000
71102,391688
109916,2860640
2600,34790
11047,100632
11047,96696
11047,83979
71102,391592
11047,66556
11047,51649
42495,167788
11047,62617
109916,132546
109916,214833
109916,231063
62617,96696
12299,1371293
938,16160
12299,446158
15290,287798
15290,164015
938,12711
1648,47916
12299,253574
387,36371
15666,336330
373,562562
14410,98926
6081,16160
15689,16513
1082,55818
1082,578860
6081,24185
387,24185
6081,15937
6081,12711
12299,240878
6081,11050
12299,242219
6081,6902
6081,6453
14410,252850
938,63517
2119,314306
847269,847270
20894,367914
146,519
71102,848226
71102,168796
12299,1057901
825,74761
938,53334
71102,254596
938,49463
813,983
111,40344
2173,40364
11368,24080
2159,520626
813,1477
4772,124260
32814,1084291
32814,1084293
32415,36202
32814,1084308
23678,443188
997,1608
383,2090065
192,59656
32327,40909
23678,442095
3139,37082
32415,39799
11611,235945
61102,156825
20130,48229
146,20319
938,144889
146,51649
146,62617
146,63985
146,66556
146,30326
320014,1940002
14400,56285
14400,61712
14400,138489
813,1343
42495,245138
6664,30326
938,129761
146,43000
6664,20319
146,33012
146,31355
146,30332
71102,260379
4335,98926
938,43631
20346,48723
6664,30332
146,6664
2763,100632
383,671287
5032,238691
70415,133295
23678,422298
11611,22918
2257,11636
192,99837
3248,274791
1440,117699
23678,405157
1440,60039
30517,1162015
23678,436251
31061,33542
9764,116306
23678,1129368
1879,43000
1879,51649
1879,62617
1879,66556
9764,137946
9346,37468
3455,33422
32415,238346
12299,411942
31061,34790
11611,42320
70415,182467
23678,439730
3248,308708
192,46488
31061,31101
31061,31098
3455,24241
23678,450905
3455,12299
9756,1429882
30874,401166
1,41390
275580,1360285
4688,42495
275580,1360284
3416,33800
32814,1017052
1022,214103
30517,989820
1786,5263
2388,65274
383,279357
192,129984
23678,391636
4690,81946
4594,2578182
30871,233282
146,647
97111,1973538
12299,455485
62617,764756
153,34558
2050,9373
146,96696
146,83979
938,964
71102,111375
42495,404727
327116,1486739
11213,12387
14400,311489
179,64822
107669,109788
142,12598
12540,42374
938,983
71102,79382
71102,88503
983,1343
71102,132084
71102,131926
5263,131052
983,1477
12713,211833
42495,446004
12691,116369
516,138292
924,41073
3648,34787
167752,819000
71102,490832
71102,491080
71102,493659
516,110946
62617,663136
11046,12692
71102,463982
62617,113474
62617,100632
92744,589313
11046,31061
101,290565
3648,355989
11046,31098
11046,31101
110946,138292
14864,24022
20633,318607
11540,16152
11540,14199
493,47072
71102,639650
71102,449162
11201,48134
12387,119067
387,6453
12299,33422
813,2863
16513,533350
42495,454041
16513,583315
12443,63541
16513,316477
12374,64192
938,1477
42495,508744
16513,48420
12443,518845
938,36371
387,129761
6664,11047
938,107938
146,11047
42495,253574
71102,271261
96330,938410
42495,254653
146,2763
12299,451486
146,1879
16513,35621
387,6902
6453,491293
6453,6902
71102,125680
12387,372930
12299,30467
11279,41294
11279,11626
42495,586680
42495,584471
6453,53334
6453,129761
42495,533238
60039,117699
6453,399115
6453,44946
6453,43631
1352,349122
2763,11047
6453,43609
1352,31047
6453,36371
1352,2077
6453,24185
6453,16160
6453,15937
6453,12711
6453,11050
387,399115
983,63517
21829,21878
12299,308089
49841,93027
8190,49812
8190,64872
8190,78441
91015,681046
8190,112059
7028,48285
1,453428
1,848525
114708,1778447
114708,937166
114682,866227
114708,937165
8190,8193
114708,937164
16042,63020
16042,36608
48274,64218
16042,21532
114708,454003
65274,144767
1,168900
964,1809
373,516
8190,8192
303,340195
8190,32726
91015,264831
964,24185
11999,12640
1671,57834
115018,1846393
964,5737
12066,1202614
22848,195069
11489,100914
983,297290
964,12711
214,466101
8190,30093
370,8709
20198,164446
22848,45592
10081,119192
7028,1026599
12066,854750
3444,1826075
3444,1108004
964,129761
8190,11855
48232,583545
114682,866231
964,15937
12066,857371
65274,517668
11814,15666
1606,16283
3444,1556636
38345,534483
48745,62668
12100,12395
38345,243527
48745,60349
11422,194605
38345,60490
827,31061
38246,49787
21982,1961378
3444,1556637
964,53334
48574,63811
101,231
2863,5737
777,123166
48420,583315
8080,11636
99,2128583
99,2128581
1,226486
2863,6081
21982,195069
1743,97500
39407,55507
964,49463
2550,318131
9596,305056
99,1261144
1632,3641
1632,21416
114682,255861
114682,255860
1743,73992
4473,4623
1710,662680
114682,214513
39407,46211
114682,214506
47916,437986
1633,3273
47916,317431
50039,65277
827,11046
47916,64872
1,267811
1,254129
11422,84669
964,2494
105832,582341
47916,492516
964,16160
964,6081
20334,23686
2763,30326
10440,52906
10440,1255831
17,29
37740,697413
87881,2506478
37740,815755
12264,16513
12264,15689
23262,243587
23262,140386
99,1171238
3103,49841
4341,982538
497,291331
47672,97648
1743,30049
3444,812194
113388,543780
964,1528
114474,271226
296,370579
227,23678
22585,45156
21453,168845
5263,5503
827,2600
21356,339300
38374,60937
37740,550880
924,33529
37740,887905
37740,597295
10790,33133
1,156207
37740,550879
2863,11050
21791,48162
964,399115
343,16189
99,1171237
37740,887903
1343,1477
12299,16140
21453,77381
87881,133804
87881,257867
12285,263726
17,190
63498,137946
63498,116306
964,1477
2763,30332
116300,276709
214,120192
558429,568881
64218,448340
827,33542
10081,385942
964,43631
22918,35371
22918,235945
5232,486703
964,36371
49463,53334
49594,255849
12066,586580
48745,310991
964,11050
49463,129761
49463,399115
964,6902
343,1135
11443,142207
12066,103113
10081,30461
10081,24621
11443,867833
49463,491293
115018,1713549
964,6453
964,2863
114474,236277
10081,333990
114474,387831
114474,328116
562562,813944
214,168714
10081,274495
48745,614389
22848,1961378
10081,333594
10081,220620
48745,249263
827,31101
214,2944
827,31098
12077,93332
64218,190235
64218,189169
1606,1940002
1743,3647
10081,825752
7028,211953
10081,1017157
1,225653
296,482
827,34790
5232,565500
2018,57590
983,46088
7028,62668
21982,45592
373,813944
12299,768636
62148,2249278
12299,55273
6436,245887
142,192
12299,896550
2804,137946
16283,34317
59734,116855
16283,320014
6436,23965
16283,1940002
59656,99837
59735,260348
6436,104640
2804,116306
825,1671
12299,809310
387,53334
938,2399
104640,722214
104640,494290
104640,245887
42495,1469688
54797,520089
2944,466101
42495,3010969
199624,239090
2763,6664
42495,728450
1340,518223
16406,729880
6437,406016
16406,252845
12299,1121729
2804,63498
12711,16160
42495,2217161
4324,659672
12711,15937
6436,36957
12299,76483
938,2494
387,49463
236,11636
12711,24185
12711,36371
12299,731954
12711,43631
12711,49463
12711,53334
813,339449
938,1856
4216,98926
54797,838094
1005,2073
938,11050
12299,412820
2944,120192
979,2781
965,1352
965,2077
12299,391022
965,349122
49584,415538
49584,391457
12299,275333
1644,583315
938,6083
12299,379208
938,6902
48909,70008
12299,367467
2127,499856
1224,691485
12299,412021
48309,74922
5506,11062
938,6081
1644,935173
54797,838095
12299,275306
12299,273670
54797,838093
54797,827783
54807,122318
14875,313803
1644,52906
12299,279436
1616,16172
54797,838096
193396,339449
5512,51394
12299,414405
12299,274495
14762,32723
3103,5882
55328,59855
12299,279038
15023,37413
15247,416630
47693,2912810
373,138292
12299,436255
817,1647
12299,439513
710627,891852
1645,52906
12640,47072
6448,34818
2804,9764
53334,399115
53334,287798
53334,164015
53334,129761
53135,122852
12299,121481
938,24185
4324,189169
59041,1033591
1302,304474
16187,629089
53334,491293
16187,844773
12711,491293
827,278589
59150,1792565
59150,1230797
59150,322346
59150,140226
1621,23801
59041,1775098
59041,1341405
139,671849
58518,98723
6436,22492
12299,516834
12299,124937
2119,9130
2863,6902
2863,6453
827,12692
3444,1140765
964,2399
1,195829
11491,30738
21982,22848
964,1856
2863,6083
2829,704277
53336,92744
312,1607
340977,938693
53135,187260
2806,21063
53135,816294
340977,938412
59041,206181
12299,597295
2944,168714
198067,255389
198067,613937
53336,589313
493,12640
105082,380430
15861,225912
105082,394865
15937,49463
15937,43631
15937,36371
15937,24185
12299,526770
