iter	Passed	Remaining
0	10	3084
1	11	1640
2	12	1147
3	12	899
4	13	751
5	13	653
6	15	622
7	16	563
8	16	516
9	17	478
10	17	445
11	18	418
12	18	395
13	19	375
14	19	357
15	20	342
16	20	328
17	21	316
18	21	305
19	21	295
20	22	286
21	22	278
22	24	278
23	24	272
24	25	266
25	25	260
26	32	316
27	33	308
28	33	300
29	33	292
30	34	286
31	35	281
32	35	276
33	36	272
34	37	269
35	37	265
36	38	261
37	38	257
38	39	254
39	40	250
40	40	247
41	41	244
42	42	241
43	42	238
44	43	235
45	44	233
46	45	233
47	46	231
48	46	229
49	47	226
50	48	225
51	49	225
52	50	224
53	50	221
54	51	219
55	52	218
56	53	216
57	53	214
58	54	213
59	55	210
60	55	208
61	56	206
62	56	204
63	57	202
64	57	199
65	58	197
66	59	195
67	59	193
68	60	191
69	60	189
70	62	191
71	63	190
72	63	188
73	64	186
74	64	184
75	65	183
76	66	182
77	67	182
78	67	180
79	68	179
80	69	177
81	69	176
82	70	174
83	70	172
84	71	171
85	71	169
86	72	168
87	73	166
88	73	165
89	74	163
90	74	162
91	75	161
92	75	159
93	76	158
94	77	157
95	77	156
96	78	155
97	79	154
98	79	153
99	81	154
100	82	153
101	82	152
102	83	150
103	84	149
104	86	150
105	86	149
106	87	148
107	88	147
108	88	146
109	89	145
110	90	144
111	90	143
112	91	142
113	91	141
114	92	140
115	93	139
116	94	138
117	95	137
118	95	137
119	96	136
120	98	137
121	99	135
122	99	134
123	100	133
124	100	132
125	101	131
126	103	131
127	104	131
128	105	130
129	105	129
130	106	128
131	106	127
132	107	126
133	107	124
134	108	123
135	109	122
136	109	121
137	110	120
138	111	119
139	111	118
140	112	117
141	112	116
142	113	115
143	113	114
144	114	113
145	114	112
146	115	111
147	120	115
148	121	114
149	123	114
150	124	113
151	125	112
152	125	111
153	126	110
154	126	109
155	127	108
156	128	108
157	129	107
158	130	106
159	131	105
160	132	105
161	133	104
162	134	103
163	135	103
164	136	102
165	136	101
166	137	100
167	137	99
168	138	98
169	138	97
170	139	96
171	139	95
172	140	94
173	140	93
174	141	92
175	141	91
176	142	90
177	142	89
178	143	88
179	143	87
180	144	86
181	144	85
182	145	84
183	145	83
184	146	82
185	146	81
186	147	80
187	148	79
188	148	78
189	149	77
190	149	76
191	150	75
192	151	75
193	151	74
194	151	73
195	152	72
196	152	71
197	153	70
198	153	69
199	154	68
200	154	67
201	155	66
202	155	65
203	155	64
204	156	64
205	157	63
206	157	62
207	158	61
208	159	60
209	159	60
210	160	59
211	160	58
212	161	57
213	166	58
214	167	57
215	168	57
216	169	56
217	170	55
218	171	54
219	172	53
220	172	53
221	173	52
222	176	52
223	177	51
224	178	50
225	179	49
226	179	49
227	180	48
228	181	47
229	182	46
230	182	45
231	183	45
232	184	44
233	185	43
234	185	42
235	186	41
236	188	41
237	188	40
238	189	39
239	189	38
240	190	37
241	191	37
242	192	36
243	193	35
244	193	34
245	194	33
246	194	33
247	195	32
248	196	31
249	196	30
250	197	29
251	198	29
252	198	28
253	199	27
254	201	26
255	202	26
256	203	25
257	204	24
258	205	23
259	206	23
260	206	22
261	207	21
262	208	20
263	209	19
264	210	19
265	211	18
266	211	17
267	212	16
268	213	15
269	214	15
270	215	14
271	215	13
272	219	12
273	220	12
274	221	11
275	221	10
276	222	9
277	222	8
278	223	8
279	223	7
280	224	6
281	224	5
282	225	4
283	225	3
284	280	3
285	280	2
286	281	1
287	281	0
288	282	0
