iter	BrierScore	Logloss
0	0.2467003354	0.6865467373
1	0.2424677331	0.6780724399
2	0.2404057304	0.6739368703
3	0.2386324052	0.6703774741
4	0.236468885	0.6660299608
5	0.234332415	0.6617273306
6	0.2327816496	0.6585973771
7	0.2316248814	0.6562595915
8	0.2294535329	0.6518675026
9	0.2265817483	0.6460236195
10	0.2252994911	0.6434002753
11	0.2239287624	0.640584426
12	0.2215482293	0.6357077953
13	0.2193773268	0.6312466794
14	0.2178956499	0.6281996586
15	0.2159024312	0.6240519562
16	0.2137134284	0.6194968834
17	0.2115614501	0.6150199917
18	0.2102765745	0.6123076143
19	0.2086862656	0.6089310394
20	0.2070770283	0.6055001188
21	0.2064247458	0.6040859779
22	0.2055138042	0.6021429631
23	0.2044662593	0.5998738644
24	0.2032772544	0.5972858521
25	0.2019296888	0.5944236141
26	0.2006597368	0.5916432801
27	0.1999560417	0.5900998966
28	0.1994698827	0.5889996512
29	0.1986060394	0.5870831187
30	0.1972675337	0.5841692454
31	0.1966407968	0.5827711082
32	0.1956160583	0.5805350799
33	0.1942764937	0.5775739162
34	0.1935547549	0.5759814751
35	0.1930530487	0.5748730525
36	0.1926169649	0.5738509825
37	0.1911472888	0.5706522724
38	0.1902093694	0.5685200073
39	0.1895893367	0.5671148161
40	0.1889615344	0.565636691
41	0.1884835826	0.5645959371
42	0.1879251895	0.5632610284
43	0.1873278685	0.5619008207
44	0.1864373786	0.559816819
45	0.1859410511	0.5587019876
46	0.1846434093	0.5558087641
47	0.1841603669	0.5547065078
48	0.1835032484	0.5531628034
49	0.1821967121	0.5502334445
50	0.1818187853	0.5493726142
51	0.1813563931	0.5482962589
52	0.1805672798	0.5464354043
53	0.1800029112	0.5451118506
54	0.1791973984	0.5432361746
55	0.1788194995	0.5423568036
56	0.177931582	0.5403399448
57	0.1774516585	0.5392712923
58	0.1767547135	0.5375964736
59	0.1759418151	0.5357254294
60	0.1755351947	0.5347726709
61	0.1746777383	0.5327785405
62	0.1742023988	0.5316272934
63	0.1736731864	0.5302777699
64	0.1728812669	0.5283824226
65	0.172706589	0.5279192229
66	0.1723099418	0.5269841322
67	0.1717091007	0.5254967979
68	0.1714994019	0.5250104645
69	0.1712509805	0.5244047009
70	0.1709989492	0.5238049421
71	0.1704166588	0.5223151996
72	0.1701112856	0.5216262897
73	0.1700422979	0.5214438749
74	0.1692597832	0.5194834275
75	0.1684562347	0.5175598944
76	0.168181311	0.5168952602
77	0.1670137042	0.5141033242
78	0.1663683636	0.5125437915
79	0.1656957468	0.5109097678
80	0.1654889041	0.510378588
81	0.16506528	0.5094333469
82	0.1648182568	0.5087403715
83	0.1643450223	0.5076316098
84	0.1641813758	0.507186951
85	0.1638230066	0.5063775325
86	0.1634057459	0.5053202082
87	0.1628517617	0.5039653268
88	0.1625505415	0.5032409618
89	0.1622267986	0.5024676677
90	0.1617149957	0.5012780349
91	0.1611555575	0.5000272241
