performer_normalized,performer,first_song_year,last_song_year,first_album_year,last_album_year,years_active_on_charts,#_of_unique_years_active,total_charting_songs,total_charting_albums,#1_hit_song_count,#1_hit_album_count,top_10_song_count,top_10_album_count,top_20_song_count,top_20_album_count,top_50_song_count,top_50_album_count,highest_charting_song_name,highest_charting_song_position,first_charting_song_name,first_charting_song_position,first_charting_song_duration,total_charting_songs_duration_weeks,highest_charting_album_name,highest_charting_album_position,first_charting_album_name,first_charting_album_position,first_charting_album_duration,total_charting_albums_duration_weeks
!!! (chk chk chk),!!! (Chk Chk Chk),0,0,2007,2007,2007-2007,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,Myth Takes,195,Myth Takes,195,1,1
"""groove"" holmes","""Groove"" Holmes",1966,1966,0,0,1966-1966,1,2,0,0,0,0,0,0,0,1,0,Misty,44,Misty,44,11,14,,0,,0,0,0
"""little"" jimmy dickens","""Little"" Jimmy Dickens",1965,1965,0,0,1965-1965,1,1,0,0,0,0,0,1,0,1,0,May The Bird Of Paradise Fly Up Your Nose,15,May The Bird Of Paradise Fly Up Your Nose,15,10,10,,0,,0,0,0
"""pookie"" hudson","""Pookie"" Hudson",1963,1963,0,0,1963-1963,1,1,0,0,0,0,0,0,0,0,0,I Know I Know,96,I Know I Know,96,1,1,,0,,0,0,0
"""weird al"" yankovic","""Weird Al"" Yankovic",1983,2014,0,0,1983-2014,8,11,0,0,0,1,0,2,0,5,0,White & Nerdy,9,Ricky,63,8,91,,0,,0,0,0
$not,$NOT,2021,2022,2020,2022,2020-2022,3,2,2,0,0,0,0,0,0,0,0,Tell Em,64,Tell Em,64,4,5,Ethereal,66,Beautiful Havoc,172,1,2
$uicideboy$,$uicideboy$,2024,2026,2018,2026,2018-2026,8,9,8,0,0,0,5,0,5,0,8,Napoleon,54,The Thin Grey Line,71,1,11,Thy Kingdom Come,4,I Want To Die In New Orleans,9,4,91
$uicideboy$ x germ,$uicideBoy$ x Germ,0,0,2022,2022,2022-2022,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,DirtiestNastiest$uicide,54,DirtiestNastiest$uicide,54,2,2
& cardi b or nas,& Cardi B Or Nas,2019,2019,0,0,2019-2019,1,1,0,0,0,0,0,0,0,1,0,Rodeo,22,Rodeo,22,9,9,,0,,0,0,0
& jack harlow,& Jack Harlow,2021,2021,0,0,2021-2021,1,1,0,1,0,1,0,1,0,1,0,Industry Baby,1,Industry Baby,1,42,42,,0,,0,0,0
& johnny cash,& Johnny Cash,0,0,1986,1986,1986-1986,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,Class Of '55,87,Class Of '55,87,12,12
& mystikal,& Mystikal,1998,1998,0,0,1998-1998,1,1,0,0,0,0,0,1,0,1,0,Make Em' Say Uhh!,16,Make Em' Say Uhh!,16,27,27,,0,,0,0,0
& sam dew,& Sam Dew,2022,2022,0,0,2022-2022,1,1,0,0,0,0,0,0,0,1,0,Savior,23,Savior,23,2,2,,0,,0,0,0
& youngboy never broke again,& Youngboy Never Broke Again,2022,2022,0,0,2022-2022,1,1,0,0,0,0,0,0,0,0,0,Late To Da Party (F*CK BET),67,Late To Da Party (F*CK BET),67,1,1,,0,,0,0,0
'68,'68,0,0,2014,2014,2014-2014,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,In Humor And Sadness,109,In Humor And Sadness,109,1,1
'n sync,'N Sync,1998,2002,1998,2005,1998-2005,6,12,5,1,2,6,4,9,4,10,5,It's Gonna Be Me,1,(God Must Have Spent) A Little More Time On You,8,22,232,No Strings Attached,1,'N Sync,2,109,281
'til tuesday,'Til Tuesday,1985,1989,1985,1988,1985-1989,5,5,3,0,0,1,0,1,1,2,2,Voices Carry,8,Voices Carry,8,21,53,Voices Carry,19,Voices Carry,19,31,76
'weird al' yankovic,'Weird Al' Yankovic,0,0,1983,2017,1983-2017,16,0,16,0,1,0,3,0,8,0,11,,0,,0,0,0,Mandatory Fun,1,Weird Al Yankovic,139,7,274
(+44),(+44),2006,2006,2006,2006,2006-2006,1,1,1,0,0,0,1,0,1,0,1,When Your Heart Stops Beating,89,When Your Heart Stops Beating,89,1,1,When Your Heart Stops Beating,10,When Your Heart Stops Beating,10,10,10
(g)i-dle,(G)I-DLE,0,0,2022,2024,2022-2024,3,0,4,0,0,0,0,0,0,0,2,,0,,0,0,0,Heat (EP),25,I Love: 5th Mini Album (EP),71,1,5
(hed) p.e.,(hed) p.e.,0,0,2000,2010,2000-2010,7,0,7,0,0,0,0,0,0,0,1,,0,,0,0,0,Blackout,33,Broke,63,8,20
(hed) planet earth,(hed) planet earth,0,0,2014,2014,2014-2014,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,Evolution,105,Evolution,105,1,1
(the preacher) bobby womack,(The Preacher) Bobby Womack,1972,1972,0,0,1972-1972,1,1,0,0,0,0,0,0,0,0,0,Woman's Gotta Have It,60,Woman's Gotta Have It,60,9,9,,0,,0,0,0
