title,performer,peak_pos,wks_on_chart,first_charting_year,original_performer,performer_normalized,original_performer_normalized,label,first_year_top_10_songs,first_top_10_hit,precedes_first_top_10_hit,tags,genre_tags_musicbrainz,top_10_1hit_wonder_song,top_10_hitmaker_song,musicbrainz_artist_id
Summertime Blues,Eddie Cochran,8,16,1958,,eddie cochran,,"LaserLight Digital, Liberty, London Records",1958,True,False,,,True,False,16187
Western Movies,The Olympics,8,12,1958,,the olympics,,Demon Records,1958,True,False,doo-wop,doo-wop,True,False,2466536
Ginger Bread,Frankie Avalon,9,11,1958,,frankie avalon,,,1958,True,False,,,False,True,42565
Queen Of The Hop,Bobby Darin,9,19,1958,,bobby darin,,ATCO Records,1958,True,False,,,False,True,2109
Willie And The Hand Jive,The Johnny Otis Show,9,10,1958,,the johnny otis show,,"Capitol Records, Rhythm and Blues",1958,True,False,,,True,False,104719
Are You Really Mine,Jimmie Rodgers,10,13,1958,,jimmie rodgers,,Roulette,1958,True,False,,,True,False,356668
Devoted To You,The Everly Brothers,10,14,1958,,the everly brothers,,"2000 FruitGum, Cadence Records",1958,True,False,,,False,True,137543
I Got A Feeling,Ricky Nelson,10,17,1958,,ricky nelson,,,1958,True,False,,,False,True,386382
Manhattan Spiritual,Reg Owen & His Orchestra,10,16,1958,,reg owen & his orchestra,,,1958,True,False,,,True,False,
Near You,Roger Williams,10,17,1958,,roger williams,,Kapp Records,1958,True,False,,,False,True,1250240
Run Rudolph Run,Chuck Berry,10,31,1958,,chuck berry,,"Chess, JB Production",1958,True,False,,,False,True,1710
The Hawaiian Wedding Song (Ke Kali Nei Au),Andy Williams,11,20,1958,,andy williams,,Heliodor,1959,False,True,,,False,True,616257
If Dreams Came True,Pat Boone,12,10,1958,,pat boone,,Dot Records,1961,False,True,,,False,True,11465
Left Right Out Of Your Heart (Hi Lee Hi Lo Hi Lup Up Up),Patti Page,13,7,1958,,patti page,,Mercury Records,1965,False,True,,,True,False,4324
The Diary,Neil Sedaka,14,15,1958,,neil sedaka,,RCA Victor,1959,False,True,,,False,True,4688
(All of a Sudden) My Heart Sings,Paul Anka,15,17,1958,,paul anka,,ABC-Paramount,1959,False,True,,,False,True,11617
Volare (Nel Blu Dipinto Di Blu),Dean Martin,15,13,1958,,dean martin,,Capitol Records,1964,False,True,,,False,True,976
"Promise Me, Love",Andy Williams,17,12,1958,,andy williams,,,1959,False,True,,,False,True,616257
Do You Want To Dance,Bobby Freeman,20,5,1958,,bobby freeman,,"Collectables, Josie Records, Maybellene",1964,False,True,,,True,False,24110
Call Me,Johnny Mathis,21,15,1958,,johnny mathis,,,1962,False,True,,,False,True,31442
Nobody But You,Dee Clark,21,17,1958,,dee clark,,,1961,False,True,,,True,False,48113
A Certain Smile,Johnny Mathis,22,9,1958,,johnny mathis,,,1962,False,True,,,False,True,31442
For My Good Fortune,Pat Boone,23,11,1958,,pat boone,,,1961,False,True,,,False,True,11465
No One Knows,Dion & The Belmonts,24,16,1958,,dion,dion & the belmonts,Laurie Records,1959,False,True,"rock, rockabilly, blues rock, rock and roll, doo-wop, rock & roll","rock, rockabilly, blues rock, rock and roll, doo-wop",False,True,647225
No One Knows,Dion & The Belmonts,24,16,1958,,dion,dion & the belmonts,Laurie Records,1959,False,True,"rock, rockabilly, blues rock, rock and roll, doo-wop, rock & roll","rock, rockabilly, blues rock, rock and roll, doo-wop",False,True,647225
No One Knows,Dion & The Belmonts,24,16,1958,,dion,dion & the belmonts,Laurie Records,1959,False,True,"rock, rockabilly, blues rock, rock and roll, doo-wop, rock & roll","rock, rockabilly, blues rock, rock and roll, doo-wop",False,True,647225
No One Knows,Dion & The Belmonts,24,16,1958,,dion,dion & the belmonts,Laurie Records,1959,False,True,"rock, rockabilly, blues rock, rock and roll, doo-wop, rock & roll","rock, rockabilly, blues rock, rock and roll, doo-wop",False,True,647225
