iter	Logloss
0	0.6905762113
1	0.688192875
2	0.6861002577
3	0.683497823
4	0.6820109591
5	0.6805189575
6	0.6784549026
7	0.6774133411
8	0.6759585969
9	0.6737945342
10	0.6719356142
11	0.6697077403
12	0.6681609916
13	0.6662007499
14	0.6648325864
15	0.6627844015
16	0.6615347804
17	0.6598982665
18	0.6582190263
19	0.6568865605
20	0.6554698249
21	0.6540732211
22	0.6522127593
23	0.6505209314
24	0.6494946907
25	0.6485093723
26	0.6473336511
27	0.6457491511
28	0.6445329952
29	0.6429144713
30	0.6418054524
31	0.640362354
32	0.6392552995
33	0.6377453928
34	0.6367425956
35	0.6355994744
36	0.6345403664
37	0.6336055638
38	0.6329500672
39	0.6322519357
40	0.6310013187
41	0.6303257616
42	0.6295916652
43	0.6287135846
44	0.6275376533
45	0.6258964763
46	0.6252732418
47	0.6248702335
48	0.6234986362
49	0.6224484688
50	0.6214371903
51	0.6203030989
52	0.6196095453
53	0.6188918952
54	0.6174857109
55	0.6164658983
56	0.6155704073
57	0.6147541013
58	0.6137566731
59	0.6129471277
60	0.612214254
61	0.611323606
62	0.6106278443
63	0.6094871415
64	0.608407253
65	0.6074841615
66	0.6064101836
67	0.6057483968
68	0.6049804118
69	0.6046124816
70	0.6042519136
71	0.6037165346
72	0.6026278818
73	0.6017789513
74	0.6009364046
75	0.6005029191
76	0.5996766302
77	0.5990849704
78	0.5981531001
79	0.5976024011
80	0.596752483
81	0.5963231362
82	0.5954621114
83	0.5946287772
84	0.5941898461
85	0.5934804704
86	0.592893235
87	0.592505655
88	0.592176928
89	0.591768368
90	0.5911298841
91	0.5902599075
92	0.5896505779
93	0.5892615297
94	0.5884413665
95	0.5881811069
96	0.5873956842
97	0.5871130915
98	0.5867695318
99	0.5864262846
100	0.5856206229
101	0.5850217609
102	0.5845740117
103	0.5841333824
104	0.5839189712
105	0.5836544946
106	0.5832908693
107	0.5826962607
108	0.5823810674
109	0.5822024308
110	0.5819795794
111	0.5817293275
112	0.5813804679
113	0.5808528886
114	0.5806047439
115	0.5800884871
116	0.5796961855
117	0.5794057421
118	0.5791603914
119	0.5789038345
120	0.5785441702
121	0.5778252012
122	0.5772791672
123	0.5768437949
124	0.5765510362
125	0.5762905152
126	0.5758327326
127	0.5754590235
128	0.5751841189
129	0.5750410684
130	0.5747185195
131	0.5745853343
132	0.5742961722
133	0.573917959
134	0.5735318917
135	0.5732536244
136	0.5729367956
137	0.5724450632
138	0.5720905569
139	0.5716164518
140	0.57137356
141	0.570965329
142	0.5707721381
143	0.570128515
144	0.5697295001
145	0.5693751381
146	0.5690587137
147	0.5688398866
148	0.5682851634
149	0.5681207046
150	0.5678723886
151	0.5675667552
152	0.5673831741
153	0.5672391238
154	0.5670989871
155	0.5669024691
156	0.5666220349
157	0.5663837595
158	0.566183268
159	0.5659577138
160	0.5657123322
161	0.5655513846
162	0.5650836216
163	0.564867358
164	0.5644961178
165	0.564331713
166	0.5641037614
167	0.5638555539
168	0.563555531
169	0.5632795618
170	0.5629062505
171	0.5626976949
172	0.5625332476
173	0.5623850109
174	0.5622279597
175	0.5621355585
176	0.5617630159
177	0.5615941247
178	0.5614683096
